Part Type,Manufacturer,Series,Part Name,HEM,In Shop,Part Ranking Score,Price,Sell Price,Level,Level %,Steam Version,Platform Lock,Frequency,Cores,Socket,Wattage,Can Overclock,Thermal Throttling,Voltage,Basic CPU Score,Score to value ratio,Default Memory Speed,% increase,Overclock Basic CPU Score,Overclock CPU score increase,Multiplier Step,Number of dies,Max Memory Channels,OC Base Voltage,OC Base Freq,CoreClockMultiplier,MemChannelsMultiplier,MemClockMultiplier,FinalAdjustment,DLC2 Random Jobs,Asset Path,Full Part Name
CPU,AMD,AMD EPYC 7001,EPYC 7351,Y,Y,3504,1650,750,19,85,,,2900,16,SP3r1,170,Y,95,1.35,10442,12.0,2666,2.9,9711,1.65,0.25,2.0,4,1.65,3650,0.013827,4.868455,0.006749,-42.5237,,Prefabs/CPU/AMD/Ryzen_ThreadRipper_SixteenCore_1950X,AMD EPYC 7351
CPU,AMD,AMD EPYC 7001,EPYC 7371,Y,Y,3708,2100,850,20,35,,,3800,16,SP3r1,180,Y,95,1.35,11051,12.0,2666,2.9,9711,1.35,0.25,2.0,4,1.65,4250,0.013827,4.868455,0.007349,-54.5237,,Prefabs/CPU/AMD/Ryzen_ThreadRipper_SixteenCore_1950X,AMD EPYC 7371
CPU,AMD,AMD EPYC 7001,EPYC 7401,Y,Y,4075,2450,1050,20,85,,,3000,24,SP3r1,170,Y,95,1.35,12145,12.0,2666,2.9,9711,2.75,0.25,2.0,4,1.65,3700,0.012827,4.868455,0.006949,-35.7237,,Prefabs/CPU/AMD/Ryzen_ThreadRipper_SixteenCore_1950X,AMD EPYC 7401
CPU,AMD,AMD EPYC 7001,EPYC 7451,Y,Y,4264,3000,1350,21,35,,,3200,24,SP3r1,180,Y,95,1.35,12708,12.0,2666,2.9,9711,2.75,0.25,2.0,4,1.65,3950,0.012827,4.868455,0.006949,-36.4007,,Prefabs/CPU/AMD/Ryzen_ThreadRipper_SixteenCore_1950X,AMD EPYC 7451
CPU,AMD,AMD EPYC 7001,EPYC 7501,Y,Y,4628,3750,1650,21,85,,,3000,32,SP3r1,170,Y,95,1.35,13794,12.0,2666,2.9,9711,2.0,0.25,2.0,4,1.65,3800,0.013827,4.868455,0.007249,-33.9907,,Prefabs/CPU/AMD/Ryzen_ThreadRipper_SixteenCore_1950X,AMD EPYC 7501
CPU,AMD,AMD EPYC 7001,EPYC 7551,Y,Y,4750,4200,1900,22,45,,,3000,32,SP3r1,180,Y,95,1.35,14155,12.0,2666,2.9,9711,1.9,0.25,2.0,4,1.65,4100,0.014827,4.868455,0.007449,-36.3107,,Prefabs/CPU/AMD/Ryzen_ThreadRipper_SixteenCore_1950X,AMD EPYC 7551
CPU,AMD,AMD EPYC 7001,EPYC 7601,Y,Y,5102,5000,2400,23,15,,,3200,32,SP3r1,180,Y,95,1.35,15205,12.0,2666,2.9,9711,1.85,0.25,2.0,4,1.65,4000,0.016827,4.868455,0.008449,-44.82107,,Prefabs/CPU/AMD/Ryzen_ThreadRipper_SixteenCore_1950X,AMD EPYC 7601
CPU,AMD,AMD EPYC 7001 (2P),EPYC 7251 (2P),Y,Y,2927,1200,525,19,1,,,2900,16,SP3r1 (2P),240,Y,95,1.35,8723,12.0,2666,2.9,9711,2.25,0.25,2.0,4,1.65,3200,0.008827,4.868455,0.005949,-31.660341919463086,,Prefabs/CPU/AMD/Ryzen_ThreadRipper_SixteenCore_1950X,AMD EPYC 7251 (2P)
CPU,AMD,AMD EPYC 7001 (2P),EPYC 7261 (2P),Y,Y,3083,1570,715,19,45,,,2900,16,SP3r1 (2P),310,Y,95,1.35,9188,12.0,2666,2.9,9711,2.0,0.25,4.0,4,1.65,3400,0.010827,4.868455,0.006049,-36.16318353020134,,Prefabs/CPU/AMD/Ryzen_ThreadRipper_SixteenCore_1950X,AMD EPYC 7261 (2P)
CPU,AMD,AMD EPYC 7001 (2P),EPYC 7281 (2P),Y,Y,3886,2100,885,20,25,,,2700,16,SP3r1 (2P),310,Y,95,1.35,11582,12.0,2666,2.9,9711,1.55,0.25,4.0,4,1.65,3300,0.009827,4.868455,0.005549,-21.931226483221476,,Prefabs/CPU/AMD/Ryzen_ThreadRipper_SixteenCore_1950X,AMD EPYC 7281 (2P)
CPU,AMD,AMD EPYC 7001 (2P),EPYC 7301 (2P),Y,Y,3026,2700,1250,20,35,,,2700,32,SP3r1 (2P),340,Y,95,1.35,9020,12.0,2666,2.9,9711,1.55,0.25,4.0,4,1.65,3400,0.012827,4.868455,0.006349,-40.7637,,Prefabs/CPU/AMD/Ryzen_ThreadRipper_SixteenCore_1950X,AMD EPYC 7301 (2P)
CPU,AMD,AMD EPYC 7001 (2P),EPYC 7351 (2P),Y,Y,3504,3300,1550,20,85,,,2900,32,SP3r1 (2P),340,Y,95,1.35,10442,12.0,2666,2.9,9711,1.65,0.25,4.0,4,1.65,3500,0.013827,4.868455,0.006749,-42.5237,,Prefabs/CPU/AMD/Ryzen_ThreadRipper_SixteenCore_1950X,AMD EPYC 7351 (2P)
CPU,AMD,AMD EPYC 7001 (2P),EPYC 7371 (2P),Y,Y,4964,4200,1950,21,35,,,3800,32,SP3r1 (2P),360,Y,95,1.35,14794,12.0,2666,2.9,9711,1.35,0.25,4.0,4,1.65,4200,0.013827,4.868455,0.007349,-41.961202993288595,,Prefabs/CPU/AMD/Ryzen_ThreadRipper_SixteenCore_1950X,AMD EPYC 7371 (2P)
CPU,AMD,AMD EPYC 7001 (2P),EPYC 7401 (2P),Y,Y,5456,5000,2650,21,85,,,3000,48,SP3r1 (2P),340,Y,95,1.35,16258,12.0,2666,2.9,9711,2.75,0.25,4.0,4,1.65,3400,0.012827,4.868455,0.006949,-21.920451315436246,,Prefabs/CPU/AMD/Ryzen_ThreadRipper_SixteenCore_1950X,AMD EPYC 7401 (2P)
CPU,AMD,AMD EPYC 7001 (2P),EPYC 7451 (2P),Y,Y,5709,6000,3000,22,35,,,3200,48,SP3r1 (2P),360,Y,95,1.35,17013,12.0,2666,2.9,9711,2.75,0.25,4.0,4,1.65,3600,0.012827,4.868455,0.006949,-21.955649973154358,,Prefabs/CPU/AMD/Ryzen_ThreadRipper_SixteenCore_1950X,AMD EPYC 7451 (2P)
CPU,AMD,AMD EPYC 7001 (2P),EPYC 7501 (2P),Y,Y,6196,7500,4200,22,85,,,3000,64,SP3r1 (2P),340,Y,95,1.35,18467,12.0,2666,2.9,9711,2.0,0.25,4.0,4,1.65,3500,0.013827,4.868455,0.007249,-18.31085534228188,,Prefabs/CPU/AMD/Ryzen_ThreadRipper_SixteenCore_1950X,AMD EPYC 7501 (2P)
CPU,AMD,AMD EPYC 7001 (2P),EPYC 7551 (2P),Y,Y,6359,8400,4900,23,45,,,3000,64,SP3r1 (2P),360,Y,95,1.35,18949,12.0,2666,2.9,9711,1.9,0.25,4.0,4,1.65,3700,0.014827,4.868455,0.007449,-20.223249973154363,,Prefabs/CPU/AMD/Ryzen_ThreadRipper_SixteenCore_1950X,AMD EPYC 7551 (2P)
CPU,AMD,AMD EPYC 7001 (2P),EPYC 7601 (2P),Y,Y,5102,10000,5700,24,15,,,3200,64,SP3r1 (2P),360,Y,95,1.35,15205,12.0,2666,2.9,9711,1.85,0.25,4.0,4,1.65,3800,0.016827,4.868455,0.008449,-44.82107,,Prefabs/CPU/AMD/Ryzen_ThreadRipper_SixteenCore_1950X,AMD EPYC 7601 (2P)
CPU,AMD,AMD EPYC 7002,EPYC 7252,Y,Y,2618,800,350,24,25,,,3200,8,SP3r2,120,Y,95,1.35,7802,12.0,2666,2.9,9711,2.0,0.25,2.0,4,1.75,3600,0.011827,4.868445,0.006949,-49.6637,,Prefabs/CPU/AMD/Ryzen_ThreadRipper_SixteenCore_1950X,AMD EPYC 7252
CPU,AMD,AMD EPYC 7002,EPYC 7262,Y,Y,2850,950,450,24,45,,,3400,8,SP3r2,155,Y,97,1.35,8493,22.8,3466,2.4,8701,2.15,0.25,1.0,2,1.55,3900,0.011743,4.868445,0.007349,-46.6337,,Prefabs/CPU/AMD/Ryzen_ThreadRipper_TwelveCore_1920X,AMD EPYC 7262
CPU,AMD,AMD EPYC 7002,EPYC 7272,Y,Y,3000,1250,650,24,75,,,3200,12,SP3r2,120,Y,97,1.35,8940,22.8,3466,2.4,8701,2.15,0.25,2.0,2,1.55,3900,0.012327,4.868445,0.007349,-44.6537,,Prefabs/CPU/AMD/Ryzen_ThreadRipper_TwelveCore_1920X,AMD EPYC 7272
CPU,AMD,AMD EPYC 7002,EPYC 7282,Y,Y,3758,1500,750,24,95,,,3200,16,SP3r2,120,Y,95,1.35,11199,14.6,2666,1.0,9193,2.5,0.25,2.0,4,1.85,3800,0.011327,4.868445,0.006949,-36.6637,,Prefabs/CPU/AMD/Ryzen_ThreadRipper_EightCore_2920X,AMD EPYC 7282
CPU,AMD,AMD EPYC 7002,EPYC 7302,Y,Y,4011,1900,850,25,75,,,3300,16,SP3r2,155,Y,95,1.35,11954,12.0,2666,2.9,9711,2.3,0.25,2.0,4,1.65,3950,0.014327,4.868445,0.006949,-45.1637,,Prefabs/CPU/AMD/Ryzen_ThreadRipper_SixteenCore_1950X,AMD EPYC 7302
CPU,AMD,AMD EPYC 7002,EPYC 7352,Y,Y,4768,2650,1200,26,50,,,3200,24,SP3r2,155,Y,95,1.35,14209,12.0,2666,2.9,9711,1.75,0.25,2.0,4,1.65,3750,0.014327,4.868445,0.006949,-36.1637,,Prefabs/CPU/AMD/Ryzen_ThreadRipper_SixteenCore_1950X,AMD EPYC 7352
CPU,AMD,AMD EPYC 7002,EPYC 7402,Y,Y,5036,3350,1750,26,95,,,3350,24,SP3r2,180,Y,95,1.35,15008,12.0,2666,2.9,9711,2.45,0.25,2.0,4,1.65,4100,0.014327,4.868445,0.007149,-36.1637,,Prefabs/CPU/AMD/Ryzen_ThreadRipper_SixteenCore_1950X,AMD EPYC 7402
CPU,AMD,AMD EPYC 7002,EPYC 7452,Y,Y,6039,4000,1550,27,20,,,3350,32,SP3r2,155,Y,95,1.35,17998,14.6,2666,1.0,21341,2.35,0.25,2.0,4,1.85,3800,0.016327,4.868445,0.007649,-34.1637,,Prefabs/CPU/AMD/Ryzen_ThreadRipper_EightCore_2990WX,AMD EPYC 7452
CPU,AMD,AMD EPYC 7002,EPYC 7502,Y,Y,6354,4650,2100,27,35,,,3350,32,SP3r2,180,Y,95,1.35,18937,14.6,2666,1.0,21341,2.5,0.25,2.0,4,1.85,4100,0.017327,4.868445,0.007949,-35.1637,,Prefabs/CPU/AMD/Ryzen_ThreadRipper_EightCore_2990WX,AMD EPYC 7502
CPU,AMD,AMD EPYC 7002,EPYC 7532,Y,Y,6651,5300,2700,27,85,,,3300,32,SP3r2,200,Y,95,1.35,19820,14.6,2666,1.0,21341,2.55,0.25,2.0,4,1.85,4200,0.018327,4.868445,0.009949,-39.9637,,Prefabs/CPU/AMD/Ryzen_ThreadRipper_EightCore_2990WX,AMD EPYC 7532
CPU,AMD,AMD EPYC 7002,EPYC 7542,Y,Y,7028,5700,2750,28,45,,,3400,32,SP3r2,225,Y,95,1.35,20944,14.6,2666,1.0,21341,2.55,0.25,2.0,4,1.85,4300,0.018327,4.868445,0.012049,-43.6237,,Prefabs/CPU/AMD/Ryzen_ThreadRipper_EightCore_2990WX,AMD EPYC 7542
CPU,AMD,AMD EPYC 7002,EPYC 7552,Y,Y,8215,6500,3273,28,95,,,3300,48,SP3r2,200,Y,95,1.25,24481,11.0,2666,1.0,27231,2.3,1.0,2.0,4,1.85,4000,0.015327,4.868445,0.012049,-20.0237,,Prefabs/CPU/AMD/Ryzen_ThreadRipper_EightCore_2990WX,AMD EPYC 7552
CPU,AMD,AMD EPYC 7002,EPYC 7642,Y,Y,8857,7200,3850,29,55,,,3300,48,SP3r2,225,Y,95,1.25,26394,11.0,2666,1.0,27231,2.5,1.0,2.0,4,1.85,4300,0.016327,4.868445,0.012649,-18.5037,,Prefabs/CPU/AMD/Ryzen_ThreadRipper_EightCore_2990WX,AMD EPYC 7642
CPU,AMD,AMD EPYC 7002,EPYC 7662,Y,Y,11084,9500,4531,29,95,,,3300,64,SP3r2,225,Y,95,1.3,33033,11.0,2666,1.0,27231,1.45,1.0,2.0,4,1.85,3800,0.018327,4.868445,0.015049,-9.2237,,Prefabs/CPU/AMD/Ryzen_ThreadRipper_EightCore_2990WX,AMD EPYC 7662
CPU,AMD,AMD EPYC 7002,EPYC 7702,Y,Y,12077,10000,5250,30,75,,,3350,64,SP3r2,200,Y,95,1.3,35991,11.0,2666,1.0,27231,2.35,1.0,2.0,4,1.85,4000,0.018927,4.868445,0.015049,-2.2237,,Prefabs/CPU/AMD/Ryzen_ThreadRipper_EightCore_2990WX,AMD EPYC 7702
CPU,AMD,AMD EPYC 7002,EPYC 7742,Y,Y,12516,11500,6100,31,35,,,3400,64,SP3r2,225,Y,95,1.3,37300,11.0,2666,1.0,27231,3.0,1.0,2.0,4,1.85,4500,0.018927,4.868445,0.015049,1.2237,,Prefabs/CPU/AMD/Ryzen_ThreadRipper_EightCore_2990WX,AMD EPYC 7742
CPU,AMD,AMD EPYC 7002,EPYC 7H12,Y,Y,13077,13750,7431,32,25,,,3300,64,SP3r2,280,Y,95,1.35,38971,11.0,2666,3.5,27231,2.9,1.0,2.0,4,1.85,4350,0.020927,4.868445,0.015049,2.121653785234905,,Prefabs/CPU/AMD/Ryzen_ThreadRipper_EightCore_2990WX,AMD EPYC 7H12
CPU,AMD,AMD EPYC 7002,EPYC 7X12,Y,Y,13849,14550,7931,33,45,,,3700,64,SP3r2,380,Y,95,1.4,41270,11.0,2666,4.5,27231,2.9,0.25,2.0,4,1.85,4450,0.035634,8.990303,0.023858,-92.9201,,Prefabs/CPU/AMD/Ryzen_ThreadRipper_EightCore_2990WX,AMD EPYC 7X12
CPU,AMD,AMD EPYC 7002 (2P),EPYC 7252 (2P),Y,Y,3505,1600,700,25,25,,,3200,16,SP3r2 (2P),240,Y,95,1.35,10445,12.0,2666,2.9,9711,2.0,0.25,4.0,4,1.75,3500,0.011827,4.868445,0.006949,-40.795878429530205,,Prefabs/CPU/AMD/Ryzen_ThreadRipper_SixteenCore_1950X,AMD EPYC 7252 (2P)
CPU,AMD,AMD EPYC 7002 (2P),EPYC 7272 (2P),Y,Y,4016,2500,1300,25,75,,,3200,24,SP3r2 (2P),240,Y,97,1.35,11968,22.8,3466,2.4,8701,2.15,0.25,4.0,2,1.55,3700,0.012327,4.868445,0.007349,-34.493850174496636,,Prefabs/CPU/AMD/Ryzen_ThreadRipper_TwelveCore_1920X,AMD EPYC 7272 (2P)
CPU,AMD,AMD EPYC 7002 (2P),EPYC 7282 (2P),Y,Y,5031,3000,1750,25,95,,,3200,32,SP3r2 (2P),240,Y,95,1.35,14992,14.6,2666,1.0,9193,2.5,0.25,4.0,4,1.85,3600,0.011327,4.868445,0.006949,-23.93413346308725,,Prefabs/CPU/AMD/Ryzen_ThreadRipper_EightCore_2920X,AMD EPYC 7282 (2P)
CPU,AMD,AMD EPYC 7002 (2P),EPYC 7302 (2P),Y,Y,5370,3800,2250,26,75,,,3300,32,SP3r2 (2P),310,Y,95,1.35,16004,12.0,2666,2.9,9711,2.3,0.25,4.0,4,1.65,3800,0.014327,4.868445,0.006949,-31.57421601342282,,Prefabs/CPU/AMD/Ryzen_ThreadRipper_SixteenCore_1950X,AMD EPYC 7302 (2P)
CPU,AMD,AMD EPYC 7002 (2P),EPYC 7352 (2P),Y,Y,6383,5300,2850,27,50,,,3200,48,SP3r2 (2P),310,Y,95,1.35,19023,12.0,2666,2.9,9711,1.75,0.25,4.0,4,1.65,3600,0.014327,4.868445,0.006949,-20.010643530201335,,Prefabs/CPU/AMD/Ryzen_ThreadRipper_SixteenCore_1950X,AMD EPYC 7352 (2P)
CPU,AMD,AMD EPYC 7002 (2P),EPYC 7402 (2P),Y,Y,6742,6700,4200,27,95,,,3350,48,SP3r2 (2P),360,Y,95,1.35,20092,12.0,2666,2.9,9711,2.45,0.25,4.0,4,1.65,3700,0.014327,4.868445,0.007149,-19.105645208053687,,Prefabs/CPU/AMD/Ryzen_ThreadRipper_SixteenCore_1950X,AMD EPYC 7402 (2P)
CPU,AMD,AMD EPYC 7002 (2P),EPYC 7452 (2P),Y,Y,8085,8000,5500,28,20,,,3350,64,SP3r2 (2P),310,Y,95,1.35,24095,14.6,2666,1.0,21341,2.35,0.25,4.0,4,1.85,3700,0.016327,4.868445,0.007649,-13.705759302013423,,Prefabs/CPU/AMD/Ryzen_ThreadRipper_EightCore_2990WX,AMD EPYC 7452 (2P)
CPU,AMD,AMD EPYC 7002 (2P),EPYC 7502 (2P),Y,Y,8507,9300,6700,28,35,,,3350,64,SP3r2 (2P),360,Y,95,1.35,25352,14.6,2666,1.0,21341,2.5,0.25,4.0,4,1.85,3800,0.017327,4.868445,0.007949,-13.63743849664429,,Prefabs/CPU/AMD/Ryzen_ThreadRipper_EightCore_2990WX,AMD EPYC 7502 (2P)
CPU,AMD,AMD EPYC 7002 (2P),EPYC 7532 (2P),Y,Y,8904,10600,7300,28,85,,,3300,64,SP3r2 (2P),400,Y,95,1.35,26535,14.6,2666,1.0,21341,2.55,0.25,6.0,4,1.85,3900,0.018327,4.868445,0.009949,-17.433289838926175,,Prefabs/CPU/AMD/Ryzen_ThreadRipper_EightCore_2990WX,AMD EPYC 7532 (2P)
CPU,AMD,AMD EPYC 7002 (2P),EPYC 7542 (2P),Y,Y,9409,11400,7850,29,45,,,3400,64,SP3r2 (2P),450,Y,95,1.35,28039,14.6,2666,1.0,21341,2.55,0.25,6.0,4,1.85,4000,0.018327,4.868445,0.012049,-19.817609973154365,,Prefabs/CPU/AMD/Ryzen_ThreadRipper_EightCore_2990WX,AMD EPYC 7542 (2P)
CPU,AMD,AMD EPYC 7002 (2P),EPYC 7552 (2P),Y,Y,10998,13000,8650,29,95,,,3300,96,SP3r2 (2P),400,Y,95,1.25,32775,11.0,2666,1.0,27231,2.3,1.0,6.0,4,1.85,3800,0.015327,4.868445,0.012049,7.8077074765100605,,Prefabs/CPU/AMD/Ryzen_ThreadRipper_EightCore_2990WX,AMD EPYC 7552 (2P)
CPU,AMD,AMD EPYC 7002 (2P),EPYC 7642 (2P),Y,Y,11857,14400,9125,30,55,,,3300,96,SP3r2 (2P),450,Y,95,1.25,35335,11.0,2666,1.0,27231,2.5,1.0,6.0,4,1.85,3800,0.016327,4.868445,0.012649,11.502067208053674,,Prefabs/CPU/AMD/Ryzen_ThreadRipper_EightCore_2990WX,AMD EPYC 7642 (2P)
CPU,AMD,AMD EPYC 7002 (2P),EPYC 7662 (2P),Y,Y,14840,19000,14250,30,95,,,3300,128,SP3r2 (2P),450,Y,95,1.3,44224,11.0,2666,1.0,27231,1.45,1.0,6.0,4,1.85,3600,0.018327,4.868445,0.015049,28.32917056375839,,Prefabs/CPU/AMD/Ryzen_ThreadRipper_EightCore_2990WX,AMD EPYC 7662 (2P)
CPU,AMD,AMD EPYC 7002 (2P),EPYC 7702 (2P),Y,Y,16169,20000,15345,31,75,,,3350,128,SP3r2 (2P),400,Y,95,1.3,48183,11.0,2666,1.0,27231,2.35,1.0,6.0,4,1.85,3800,0.018927,4.868445,0.015049,38.69141116778521,,Prefabs/CPU/AMD/Ryzen_ThreadRipper_EightCore_2990WX,AMD EPYC 7702 (2P)
CPU,AMD,AMD EPYC 7002 (2P),EPYC 7742 (2P),Y,Y,16757,23000,18255,32,35,,,3400,128,SP3r2 (2P),450,Y,95,1.3,49937,11.0,2666,1.0,27231,3.0,1.0,6.0,4,1.85,4000,0.018927,4.868445,0.015049,43.62761150335569,,Prefabs/CPU/AMD/Ryzen_ThreadRipper_EightCore_2990WX,AMD EPYC 7742 (2P)
CPU,AMD,AMD EPYC 7002 (2P),EPYC 7H12 (2P),Y,Y,17508,27500,22500,32,75,,,3300,128,SP3r2 (2P),560,Y,95,1.35,52174,11.0,2666,3.5,27231,2.9,1.0,6.0,4,1.85,4100,0.020927,4.868445,0.018049,38.42902291275168,,Prefabs/CPU/AMD/Ryzen_ThreadRipper_EightCore_2990WX,AMD EPYC 7H12 (2P)
CPU,AMD,AMD EPYC 7002 (2P),EPYC 7X12 (2P),Y,Y,18540,29100,24650,33,75,,,3700,128,SP3r2 (2P),760,Y,95,1.4,55252,11.0,2666,4.5,27231,2.9,0.25,6.0,4,1.85,4200,0.035634,8.990303,0.023858,-46.00304402684563,,Prefabs/CPU/AMD/Ryzen_ThreadRipper_EightCore_2990WX,AMD EPYC 7X12 (2P)
CPU,AMD,AMD EPYC 7003,EPYC 7313,Y,Y,4850,3050,1250,35,1,,,3700,16,SP3r2,155,Y,95,1.25,14454,11.0,2666,4.5,27231,2.9,0.25,2.0,4,1.85,4200,0.018634,8.090303,0.013858,-89.7472722147651,,Prefabs/CPU/AMD/Ryzen_ThreadRipper_EightCore_2990WX,AMD EPYC 7313
CPU,AMD,AMD EPYC 7003,EPYC 7343,Y,Y,5150,3650,1850,35,35,,,3900,16,SP3r2,190,Y,95,1.25,15347,11.0,2666,4.5,27231,2.9,0.25,2.0,4,1.85,4400,0.018634,8.090303,0.013858,-90.47736080536913,,Prefabs/CPU/AMD/Ryzen_ThreadRipper_EightCore_2990WX,AMD EPYC 7343
CPU,AMD,AMD EPYC 7003,EPYC 7413,Y,Y,5850,3850,2065,35,85,,,3600,24,SP3r2,180,Y,95,1.25,17433,11.0,2666,4.5,27231,2.9,0.25,2.0,4,1.85,4200,0.018634,8.090303,0.013858,-77.88816751677851,,Prefabs/CPU/AMD/Ryzen_ThreadRipper_EightCore_2990WX,AMD EPYC 7413
CPU,AMD,AMD EPYC 7003,EPYC 7443,Y,Y,6264,4450,2715,36,25,,,4000,24,SP3r2,200,Y,95,1.25,18668,11.0,2666,4.5,27231,2.9,0.25,2.0,4,1.85,4400,0.018634,8.090303,0.015858,-86.5275500671141,,Prefabs/CPU/AMD/Ryzen_ThreadRipper_EightCore_2990WX,AMD EPYC 7443
CPU,AMD,AMD EPYC 7003,EPYC 7513,Y,Y,7350,6000,4235,36,65,,,3650,32,SP3r2,200,Y,95,1.25,21904,11.0,2666,4.5,27231,2.9,0.25,2.0,4,1.85,4300,0.021634,8.090303,0.015858,-80.09755,,Prefabs/CPU/AMD/Ryzen_ThreadRipper_EightCore_2990WX,AMD EPYC 7513
CPU,AMD,AMD EPYC 7003,EPYC 7543,Y,Y,7525,6350,4585,36,85,,,3700,32,SP3r2,225,Y,95,1.25,22426,11.0,2666,4.5,27231,2.9,0.25,2.0,4,1.85,4500,0.022634,8.090303,0.015858,-83.12755,,Prefabs/CPU/AMD/Ryzen_ThreadRipper_EightCore_2990WX,AMD EPYC 7543
CPU,AMD,AMD EPYC 7003,EPYC 7643,Y,Y,9950,9150,7785,37,15,,,3600,48,SP3r2,225,Y,95,1.25,29652,11.0,2666,4.5,27231,2.9,0.25,2.0,4,1.85,4300,0.028634,8.090303,0.015858,-78.21755,,Prefabs/CPU/AMD/Ryzen_ThreadRipper_EightCore_2990WX,AMD EPYC 7643
CPU,AMD,AMD EPYC 7003,EPYC 7713,Y,Y,13550,14850,11785,37,45,,,3675,64,SP3r2,225,Y,95,1.25,40379,11.0,2666,4.5,27231,2.9,0.25,2.0,4,1.85,4500,0.030634,8.090303,0.015858,-51.71755,,Prefabs/CPU/AMD/Ryzen_ThreadRipper_EightCore_2990WX,AMD EPYC 7713
CPU,AMD,AMD EPYC 7003,EPYC 7763,Y,Y,14148,16550,14185,37,85,,,3500,64,SP3r2,280,Y,95,1.25,42161,11.0,2666,4.5,27231,2.9,0.25,2.0,4,1.85,4600,0.031634,8.090303,0.018799,-51.71755,,Prefabs/CPU/AMD/Ryzen_ThreadRipper_EightCore_2990WX,AMD EPYC 7763
