Part Type,Manufacturer,Part Name,HEM,In Shop,Price,Sell Price,Level,Level %,Steam Version,Platform Lock,Lighting,Type,No Fan,Air Flow,AM4,LGA 1151 (Skylake),LGA 1151 (Kaby Lake),LGA 1151 (Coffee Lake),LGA 1200,TR4,sTRX4,LGA 2066,AM3+,FM2,FM2+,LGA 2011-V3,LGA 2566,LGA 3647-V1,LGA 3647-V3,LGA 4189,LGA 4189 (2P),LGA 4926,LGA 5903,SP3r1,SP3r2,SP6,LGA 3647-V3 (2P),LGA 3647-V3 (4P),LGA 3647-V3 (8P),LGA 4926 (2P),LGA 5903 (2P),SP3r1 (2P),SP3r2 (2P),SP6 (2P),CPU Socket List,CPU Socket List (HEM),Height,Size,Slots,Thickness,Air Pressure,DLC2 Random Jobs,Exclude From Random Jobs,Asset Path,Full Part Name
CPU Cooler - Air,ARCTIC,Freezer 11 LP 8X,Y,Y,200,248,23,35,,,,Air Cooler,,320.0,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,"LGA 3647-V3 (8P),",59,,,,,,,v1_12_0/Prefabs/CoolingSystems/AirCoolers/Arctic/AC_ARCTIC_FREEZER_11_LP,ARCTIC Freezer 11 LP 8X
CPU Cooler - Air,ARCTIC,Freezer 12,,Y,25,8,13,50,1.0,,,Air Cooler,,50.0,Y,Y,Y,Y,Y,,,Y,,,,Y,Y,,,,,,,,,,,,,,,,,,"AM4, LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200, LGA 2011-V3, LGA 2066,","AM4, LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200, LGA 2011-V3, LGA 2066, LGA 2566,",130,,,,,,,Prefabs/CoolingSystems/AirCoolers/Arctic/AC_Arctic_Freezer_12_White,ARCTIC Freezer 12
CPU Cooler - Air,ARCTIC,Freezer 12 CO,,Y,75,25,13,60,1.10,PC,,Air Cooler,,40.0,Y,Y,Y,Y,Y,,,Y,,,,Y,Y,,,,,,,,,,,,,,,,,,"AM4, LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200, LGA 2011-V3, LGA 2066,","AM4, LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200, LGA 2011-V3, LGA 2066, LGA 2566,",130,,,,,,,v1_10_0/Prefabs/CoolingSystems/AirCoolers/Arctic/AC_Arctic_Freezer_12_CO,ARCTIC Freezer 12 CO
CPU Cooler - Air,ARCTIC,Freezer 12 CO 2X,Y,Y,150,50,16,1,,,,Air Cooler,,80.0,,,,,,,,,,,,,,,,,Y,,,,,,Y,,,Y,,,,,,"LGA 3647-V3 (2P), LGA 4189 (2P), LGA 4926 (2P),",130,,,,,,,v1_10_0/Prefabs/CoolingSystems/AirCoolers/Arctic/AC_Arctic_Freezer_12_CO,ARCTIC Freezer 12 CO 2X
CPU Cooler - Air,ARCTIC,Freezer 12 CO 4X,Y,Y,300,100,18,95,,,,Air Cooler,,160.0,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,"LGA 3647-V3 (4P),",130,,,,,,,v1_10_0/Prefabs/CoolingSystems/AirCoolers/Arctic/AC_Arctic_Freezer_12_CO,ARCTIC Freezer 12 CO 4X
CPU Cooler - Air,ARCTIC,Freezer 12 CO 8X,Y,Y,600,200,23,35,,,,Air Cooler,,320.0,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,"LGA 3647-V3 (8P),",130,,,,,,,v1_10_0/Prefabs/CoolingSystems/AirCoolers/Arctic/AC_Arctic_Freezer_12_CO,ARCTIC Freezer 12 CO 8X
CPU Cooler - Air,ARCTIC,Freezer 33,,Y,25,8,13,30,1.0,,,Air Cooler,,53.0,Y,Y,Y,Y,Y,,,Y,,,,Y,Y,,,,,,,,,,,,,,,,,,"AM4, LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200, LGA 2011-V3, LGA 2066,","AM4, LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200, LGA 2011-V3, LGA 2066, LGA 2566,",150,,,,,,,Prefabs/CoolingSystems/AirCoolers/Arctic/AC_Arctic_Freezer_33,ARCTIC Freezer 33
CPU Cooler - Air,ARCTIC,Freezer 33 eSports Edition (Green),,Y,50,17,6,60,1.0,,,Air Cooler,,100.0,Y,Y,Y,Y,Y,,,Y,,,,Y,Y,Y,Y,Y,,Y,,,,,,,,,,,,,"AM4, LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200, LGA 2011-V3, LGA 2066,","AM4, LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200, LGA 2011-V3, LGA 2066, LGA 2566, LGA 3647-V1, LGA 3647-V3, LGA 4189, LGA 4926,",150,,,,3.25,,,Prefabs/CoolingSystems/AirCoolers/Arctic/Arctic_Freezer_33_eSports_Edition_Green,ARCTIC Freezer 33 eSports Edition (Green)
CPU Cooler - Air,ARCTIC,Freezer 33 eSports Edition (Green) 2X,Y,Y,100,34,16,1,,,,Air Cooler,,200.0,,,,,,,,,,,,,,,,,Y,,,,,,Y,,,Y,,,,,,"LGA 3647-V3 (2P), LGA 4189 (2P), LGA 4926 (2P),",150,,,,3.25,,,Prefabs/CoolingSystems/AirCoolers/Arctic/Arctic_Freezer_33_eSports_Edition_Green,ARCTIC Freezer 33 eSports Edition (Green) 2X
CPU Cooler - Air,ARCTIC,Freezer 33 eSports Edition (Green) 4X,Y,Y,200,68,18,95,,,,Air Cooler,,400.0,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,"LGA 3647-V3 (4P),",150,,,,3.25,,,Prefabs/CoolingSystems/AirCoolers/Arctic/Arctic_Freezer_33_eSports_Edition_Green,ARCTIC Freezer 33 eSports Edition (Green) 4X
CPU Cooler - Air,ARCTIC,Freezer 33 eSports Edition (Green) 8X,Y,Y,400,136,23,35,,,,Air Cooler,,800.0,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,"LGA 3647-V3 (8P),",150,,,,3.25,,,Prefabs/CoolingSystems/AirCoolers/Arctic/Arctic_Freezer_33_eSports_Edition_Green,ARCTIC Freezer 33 eSports Edition (Green) 8X
CPU Cooler - Air,ARCTIC,Freezer 33 eSports Edition (Red),,Y,50,17,6,1,1.0,,,Air Cooler,,100.0,Y,Y,Y,Y,Y,,,Y,,,,Y,Y,Y,Y,Y,,Y,,,,,,,,,,,,,"AM4, LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200, LGA 2011-V3, LGA 2066,","AM4, LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200, LGA 2011-V3, LGA 2066, LGA 2566, LGA 3647-V1, LGA 3647-V3, LGA 4189, LGA 4926,",150,,,,3.25,,,Prefabs/CoolingSystems/AirCoolers/Arctic/Arctic_Freezer_33_eSports_Edition,ARCTIC Freezer 33 eSports Edition (Red)
CPU Cooler - Air,ARCTIC,Freezer 33 eSports Edition (Red) 2X,Y,Y,100,34,16,1,,,,Air Cooler,,200.0,,,,,,,,,,,,,,,,,Y,,,,,,Y,,,Y,,,,,,"LGA 3647-V3 (2P), LGA 4189 (2P), LGA 4926 (2P),",150,,,,3.25,,,Prefabs/CoolingSystems/AirCoolers/Arctic/Arctic_Freezer_33_eSports_Edition,ARCTIC Freezer 33 eSports Edition (Red) 2X
CPU Cooler - Air,ARCTIC,Freezer 33 eSports Edition (Red) 4X,Y,Y,200,68,18,95,,,,Air Cooler,,400.0,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,"LGA 3647-V3 (4P),",150,,,,3.25,,,Prefabs/CoolingSystems/AirCoolers/Arctic/Arctic_Freezer_33_eSports_Edition,ARCTIC Freezer 33 eSports Edition (Red) 4X
CPU Cooler - Air,ARCTIC,Freezer 33 eSports Edition (Red) 8X,Y,Y,400,136,23,35,,,,Air Cooler,,800.0,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,"LGA 3647-V3 (8P),",150,,,,3.25,,,Prefabs/CoolingSystems/AirCoolers/Arctic/Arctic_Freezer_33_eSports_Edition,ARCTIC Freezer 33 eSports Edition (Red) 8X
CPU Cooler - Air,ARCTIC,Freezer 33 eSports Edition (White),,Y,50,17,6,40,1.0,,,Air Cooler,,100.0,Y,Y,Y,Y,Y,,,Y,,,,Y,Y,Y,Y,Y,,Y,,,,,,,,,,,,,"AM4, LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200, LGA 2011-V3, LGA 2066,","AM4, LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200, LGA 2011-V3, LGA 2066, LGA 2566, LGA 3647-V1, LGA 3647-V3, LGA 4189, LGA 4926,",150,,,,3.25,,,Prefabs/CoolingSystems/AirCoolers/Arctic/Arctic_Freezer_33_eSports_Edition_White,ARCTIC Freezer 33 eSports Edition (White)
CPU Cooler - Air,ARCTIC,Freezer 33 eSports Edition (White) 2X,Y,Y,100,34,16,1,,,,Air Cooler,,200.0,,,,,,,,,,,,,,,,,Y,,,,,,Y,,,Y,,,,,,"LGA 3647-V3 (2P), LGA 4189 (2P), LGA 4926 (2P),",150,,,,3.25,,,Prefabs/CoolingSystems/AirCoolers/Arctic/Arctic_Freezer_33_eSports_Edition_White,ARCTIC Freezer 33 eSports Edition (White) 2X
CPU Cooler - Air,ARCTIC,Freezer 33 eSports Edition (White) 4X,Y,Y,200,68,18,95,,,,Air Cooler,,400.0,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,"LGA 3647-V3 (4P),",150,,,,3.25,,,Prefabs/CoolingSystems/AirCoolers/Arctic/Arctic_Freezer_33_eSports_Edition_White,ARCTIC Freezer 33 eSports Edition (White) 4X
CPU Cooler - Air,ARCTIC,Freezer 33 eSports Edition (White) 8X,Y,Y,400,136,23,35,,,,Air Cooler,,800.0,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,"LGA 3647-V3 (8P),",150,,,,3.25,,,Prefabs/CoolingSystems/AirCoolers/Arctic/Arctic_Freezer_33_eSports_Edition_White,ARCTIC Freezer 33 eSports Edition (White) 8X
CPU Cooler - Air,ARCTIC,Freezer 33 eSports Edition (Yellow),,Y,50,17,6,20,1.0,,,Air Cooler,,100.0,Y,Y,Y,Y,Y,,,Y,,,,Y,Y,Y,Y,Y,,Y,,,,,,,,,,,,,"AM4, LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200, LGA 2011-V3, LGA 2066,","AM4, LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200, LGA 2011-V3, LGA 2066, LGA 2566, LGA 3647-V1, LGA 3647-V3, LGA 4189, LGA 4926,",150,,,,3.25,,,Prefabs/CoolingSystems/AirCoolers/Arctic/Arctic_Freezer_33_eSports_Edition_Yellow,ARCTIC Freezer 33 eSports Edition (Yellow)
CPU Cooler - Air,ARCTIC,Freezer 33 eSports Edition (Yellow) 2X,Y,Y,100,34,16,1,,,,Air Cooler,,200.0,,,,,,,,,,,,,,,,,Y,,,,,,Y,,,Y,,,,,,"LGA 3647-V3 (2P), LGA 4189 (2P), LGA 4926 (2P),",150,,,,3.25,,,Prefabs/CoolingSystems/AirCoolers/Arctic/Arctic_Freezer_33_eSports_Edition_Yellow,ARCTIC Freezer 33 eSports Edition (Yellow) 2X
CPU Cooler - Air,ARCTIC,Freezer 33 eSports Edition (Yellow) 4X,Y,Y,200,68,18,95,,,,Air Cooler,,400.0,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,"LGA 3647-V3 (4P),",150,,,,3.25,,,Prefabs/CoolingSystems/AirCoolers/Arctic/Arctic_Freezer_33_eSports_Edition_Yellow,ARCTIC Freezer 33 eSports Edition (Yellow) 4X
CPU Cooler - Air,ARCTIC,Freezer 33 eSports Edition (Yellow) 8X,Y,Y,400,136,23,35,,,,Air Cooler,,800.0,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,"LGA 3647-V3 (8P),",150,,,,3.25,,,Prefabs/CoolingSystems/AirCoolers/Arctic/Arctic_Freezer_33_eSports_Edition_Yellow,ARCTIC Freezer 33 eSports Edition (Yellow) 8X
CPU Cooler - Air,ARCTIC,Freezer 33 eSports ONE (Green),,Y,33,11,5,60,1.0,,,Air Cooler,,80.0,Y,Y,Y,Y,Y,,,Y,,,,Y,Y,Y,Y,Y,,Y,,,,,,,,,,,,,"AM4, LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200, LGA 2011-V3, LGA 2066,","AM4, LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200, LGA 2011-V3, LGA 2066, LGA 2566, LGA 3647-V1, LGA 3647-V3, LGA 4189, LGA 4926,",150,,,,3.0,,,Prefabs/CoolingSystems/AirCoolers/Arctic/Arctic_Freezer_33_eSports_ONE_Green,ARCTIC Freezer 33 eSports ONE (Green)
CPU Cooler - Air,ARCTIC,Freezer 33 eSports ONE (Green) 2X,Y,Y,66,22,16,1,,,,Air Cooler,,160.0,,,,,,,,,,,,,,,,,Y,,,,,,Y,,,Y,,,,,,"LGA 3647-V3 (2P), LGA 4189 (2P), LGA 4926 (2P),",150,,,,3.0,,,Prefabs/CoolingSystems/AirCoolers/Arctic/Arctic_Freezer_33_eSports_ONE_Green,ARCTIC Freezer 33 eSports ONE (Green) 2X
CPU Cooler - Air,ARCTIC,Freezer 33 eSports ONE (Green) 4X,Y,Y,132,44,18,95,,,,Air Cooler,,320.0,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,"LGA 3647-V3 (4P),",150,,,,3.0,,,Prefabs/CoolingSystems/AirCoolers/Arctic/Arctic_Freezer_33_eSports_ONE_Green,ARCTIC Freezer 33 eSports ONE (Green) 4X
CPU Cooler - Air,ARCTIC,Freezer 33 eSports ONE (Green) 8X,Y,Y,264,88,23,35,,,,Air Cooler,,640.0,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,"LGA 3647-V3 (8P),",150,,,,3.0,,,Prefabs/CoolingSystems/AirCoolers/Arctic/Arctic_Freezer_33_eSports_ONE_Green,ARCTIC Freezer 33 eSports ONE (Green) 8X
CPU Cooler - Air,ARCTIC,Freezer 33 eSports ONE (Red),,Y,33,11,5,1,1.0,,,Air Cooler,,80.0,Y,Y,Y,Y,Y,,,Y,,,,Y,Y,Y,Y,Y,,Y,,,,,,,,,,,,,"AM4, LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200, LGA 2011-V3, LGA 2066,","AM4, LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200, LGA 2011-V3, LGA 2066, LGA 2566, LGA 3647-V1, LGA 3647-V3, LGA 4189, LGA 4926,",150,,,,3.0,,,Prefabs/CoolingSystems/AirCoolers/Arctic/Arctic_Freezer_33_eSports_ONE,ARCTIC Freezer 33 eSports ONE (Red)
CPU Cooler - Air,ARCTIC,Freezer 33 eSports ONE (Red) 2X,Y,Y,66,22,16,1,,,,Air Cooler,,160.0,,,,,,,,,,,,,,,,,Y,,,,,,Y,,,Y,,,,,,"LGA 3647-V3 (2P), LGA 4189 (2P), LGA 4926 (2P),",150,,,,3.0,,,Prefabs/CoolingSystems/AirCoolers/Arctic/Arctic_Freezer_33_eSports_ONE,ARCTIC Freezer 33 eSports ONE (Red) 2X
CPU Cooler - Air,ARCTIC,Freezer 33 eSports ONE (Red) 4X,Y,Y,132,44,18,95,,,,Air Cooler,,320.0,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,"LGA 3647-V3 (4P),",150,,,,3.0,,,Prefabs/CoolingSystems/AirCoolers/Arctic/Arctic_Freezer_33_eSports_ONE,ARCTIC Freezer 33 eSports ONE (Red) 4X
CPU Cooler - Air,ARCTIC,Freezer 33 eSports ONE (Red) 8X,Y,Y,264,88,23,35,,,,Air Cooler,,640.0,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,"LGA 3647-V3 (8P),",150,,,,3.0,,,Prefabs/CoolingSystems/AirCoolers/Arctic/Arctic_Freezer_33_eSports_ONE,ARCTIC Freezer 33 eSports ONE (Red) 8X
CPU Cooler - Air,ARCTIC,Freezer 33 eSports ONE (White),,Y,33,11,5,40,1.0,,,Air Cooler,,80.0,Y,Y,Y,Y,Y,,,Y,,,,Y,Y,Y,Y,Y,,Y,,,,,,,,,,,,,"AM4, LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200, LGA 2011-V3, LGA 2066,","AM4, LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200, LGA 2011-V3, LGA 2066, LGA 2566, LGA 3647-V1, LGA 3647-V3, LGA 4189, LGA 4926,",150,,,,3.0,,,Prefabs/CoolingSystems/AirCoolers/Arctic/Arctic_Freezer_33_eSports_ONE_White,ARCTIC Freezer 33 eSports ONE (White)
CPU Cooler - Air,ARCTIC,Freezer 33 eSports ONE (White) 2X,Y,Y,66,22,16,1,,,,Air Cooler,,160.0,,,,,,,,,,,,,,,,,Y,,,,,,Y,,,Y,,,,,,"LGA 3647-V3 (2P), LGA 4189 (2P), LGA 4926 (2P),",150,,,,3.0,,,Prefabs/CoolingSystems/AirCoolers/Arctic/Arctic_Freezer_33_eSports_ONE_White,ARCTIC Freezer 33 eSports ONE (White) 2X
CPU Cooler - Air,ARCTIC,Freezer 33 eSports ONE (White) 4X,Y,Y,132,44,18,95,,,,Air Cooler,,320.0,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,"LGA 3647-V3 (4P),",150,,,,3.0,,,Prefabs/CoolingSystems/AirCoolers/Arctic/Arctic_Freezer_33_eSports_ONE_White,ARCTIC Freezer 33 eSports ONE (White) 4X
CPU Cooler - Air,ARCTIC,Freezer 33 eSports ONE (White) 8X,Y,Y,264,88,23,35,,,,Air Cooler,,640.0,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,"LGA 3647-V3 (8P),",150,,,,3.0,,,Prefabs/CoolingSystems/AirCoolers/Arctic/Arctic_Freezer_33_eSports_ONE_White,ARCTIC Freezer 33 eSports ONE (White) 8X
CPU Cooler - Air,ARCTIC,Freezer 33 eSports ONE (Yellow),,Y,33,11,5,20,1.0,,,Air Cooler,,80.0,Y,Y,Y,Y,Y,,,Y,,,,Y,Y,Y,Y,Y,,Y,,,,,,,,,,,,,"AM4, LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200, LGA 2011-V3, LGA 2066,","AM4, LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200, LGA 2011-V3, LGA 2066, LGA 2566, LGA 3647-V1, LGA 3647-V3, LGA 4189, LGA 4926,",150,,,,3.0,,,Prefabs/CoolingSystems/AirCoolers/Arctic/Arctic_Freezer_33_eSports_ONE_Yellow,ARCTIC Freezer 33 eSports ONE (Yellow)
CPU Cooler - Air,ARCTIC,Freezer 33 eSports ONE (Yellow) 2X,Y,Y,66,22,16,1,,,,Air Cooler,,160.0,,,,,,,,,,,,,,,,,Y,,,,,,Y,,,Y,,,,,,"LGA 3647-V3 (2P), LGA 4189 (2P), LGA 4926 (2P),",150,,,,3.0,,,Prefabs/CoolingSystems/AirCoolers/Arctic/Arctic_Freezer_33_eSports_ONE_Yellow,ARCTIC Freezer 33 eSports ONE (Yellow) 2X
CPU Cooler - Air,ARCTIC,Freezer 33 eSports ONE (Yellow) 4X,Y,Y,132,44,18,95,,,,Air Cooler,,320.0,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,"LGA 3647-V3 (4P),",150,,,,3.0,,,Prefabs/CoolingSystems/AirCoolers/Arctic/Arctic_Freezer_33_eSports_ONE_Yellow,ARCTIC Freezer 33 eSports ONE (Yellow) 4X
CPU Cooler - Air,ARCTIC,Freezer 33 eSports ONE (Yellow) 8X,Y,Y,264,88,23,35,,,,Air Cooler,,640.0,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,"LGA 3647-V3 (8P),",150,,,,3.0,,,Prefabs/CoolingSystems/AirCoolers/Arctic/Arctic_Freezer_33_eSports_ONE_Yellow,ARCTIC Freezer 33 eSports ONE (Yellow) 8X
