Part Type,Manufacturer,Part Name,HEM,In Shop,Price,Sell Price,Level,Level %,Steam Version,Platform Lock,Lighting,Size (GB),Frequency,RAM Type,Voltage,Size each (GB),Number,Price per GB,Part Name (Base),DLC2 Random Jobs,OC Base Voltage,OC Base Freq,Asset Path,Full Part Name
Memory,ADATA,ECC U-DIMM 2X 64 GB 3200 MHz,Y,Y,640,380,21,25,,,,64,3200,DDR4 (ECC) 2X,1.25,64,1,9.3,ECC U-DIMM 2X,,1.58,3500,Prefabs/RAM/ADATA/ADATA_Premier_DDR4,ADATA ECC U-DIMM 2X 64 GB 3200 MHz
Memory,ADATA,ECC U-DIMM 2X 64 GB 3200 MHz,Y,,640,380,21,25,,,,64,3200,DDR4 (ECC) 2X,1.25,64,1,9.3,ECC U-DIMM 2X,,1.58,3500,Prefabs/RAM/ADATA/ADATA_Premier_DDR4,ADATA ECC U-DIMM 2X 64 GB 3200 MHz
Memory,ADATA,ECC U-DIMM 32 GB 2133 MHz,Y,Y,245,135,18,1,,,,32,2133,DDR4 (ECC),1.25,32,1,9.3,ECC U-DIMM,,1.58,3000,Prefabs/RAM/ADATA/ADATA_Premier_DDR4,ADATA ECC U-DIMM 32 GB 2133 MHz
Memory,ADATA,ECC U-DIMM 32 GB 2400 MHz,Y,Y,265,150,18,45,,,,32,2400,DDR4 (ECC),1.25,32,1,9.3,ECC U-DIMM,,1.58,3200,Prefabs/RAM/ADATA/ADATA_Premier_DDR4,ADATA ECC U-DIMM 32 GB 2400 MHz
Memory,ADATA,ECC U-DIMM 32 GB 2666 MHz,Y,Y,285,170,19,15,,,,32,2666,DDR4 (ECC),1.25,32,1,9.3,ECC U-DIMM,,1.58,3400,Prefabs/RAM/ADATA/ADATA_Premier_DDR4,ADATA ECC U-DIMM 32 GB 2666 MHz
Memory,ADATA,ECC U-DIMM 32 GB 2993 MHz,Y,Y,305,180,19,95,,,,32,2993,DDR4 (ECC),1.25,32,1,9.3,ECC U-DIMM,,1.58,3400,Prefabs/RAM/ADATA/ADATA_Premier_DDR4,ADATA ECC U-DIMM 32 GB 2993 MHz
Memory,ADATA,ECC U-DIMM 32 GB 3200 MHz,Y,,320,190,20,25,,,,32,3200,DDR4 (ECC),1.25,32,1,9.3,ECC U-DIMM,,1.58,3600,Prefabs/RAM/ADATA/ADATA_Premier_DDR4,ADATA ECC U-DIMM 32 GB 3200 MHz
Memory,ADATA,ECC U-DIMM 32 GB 3200 MHz,Y,Y,320,190,20,25,,,,32,3200,DDR4 (ECC),1.25,32,1,9.3,ECC U-DIMM,,1.58,3600,Prefabs/RAM/ADATA/ADATA_Premier_DDR4,ADATA ECC U-DIMM 32 GB 3200 MHz
Memory,ADATA,ECC U-DIMM 4X 128 GB 2133 MHz,Y,Y,980,540,19,1,,,,128,2133,DDR4 (ECC) 4X,1.25,128,1,7.7,ECC U-DIMM 4X,,1.58,2800,Prefabs/RAM/ADATA/ADATA_Premier_DDR4,ADATA ECC U-DIMM 4X 128 GB 2133 MHz
Memory,ADATA,ECC U-DIMM 4X 128 GB 2400 MHz,Y,Y,1060,600,19,45,,,,128,2400,DDR4 (ECC) 4X,1.25,128,1,8.3,ECC U-DIMM 4X,,1.58,3000,Prefabs/RAM/ADATA/ADATA_Premier_DDR4,ADATA ECC U-DIMM 4X 128 GB 2400 MHz
Memory,ADATA,ECC U-DIMM 4X 128 GB 2666 MHz,Y,Y,1140,680,20,15,,,,128,2666,DDR4 (ECC) 4X,1.25,128,1,8.9,ECC U-DIMM 4X,,1.58,3200,Prefabs/RAM/ADATA/ADATA_Premier_DDR4,ADATA ECC U-DIMM 4X 128 GB 2666 MHz
Memory,ADATA,ECC U-DIMM 4X 128 GB 2993 MHz,Y,Y,1220,720,20,95,,,,128,2993,DDR4 (ECC) 4X,1.25,128,1,9.5,ECC U-DIMM 4X,,1.58,3200,Prefabs/RAM/ADATA/ADATA_Premier_DDR4,ADATA ECC U-DIMM 4X 128 GB 2993 MHz
Memory,ADATA,ECC U-DIMM 4X 128 GB 3200 MHz,Y,,1280,760,21,25,,,,128,3200,DDR4 (ECC) 4X,1.25,128,1,10.0,ECC U-DIMM 4X,,1.58,3400,Prefabs/RAM/ADATA/ADATA_Premier_DDR4,ADATA ECC U-DIMM 4X 128 GB 3200 MHz
Memory,ADATA,ECC U-DIMM 4X 128 GB 3200 MHz,Y,Y,1280,760,21,25,,,,128,3200,DDR4 (ECC) 4X,1.25,128,1,10.0,ECC U-DIMM 4X,,1.58,3400,Prefabs/RAM/ADATA/ADATA_Premier_DDR4,ADATA ECC U-DIMM 4X 128 GB 3200 MHz
Memory,ADATA,ECC U-DIMM 4X 256 GB 2133 MHz,Y,Y,1940,1420,23,25,,,,256,2133,DDR4 (ECC) 4X,1.25,256,1,7.6,ECC U-DIMM 4X,,1.58,2600,Prefabs/RAM/ADATA/ADATA_Premier_DDR4,ADATA ECC U-DIMM 4X 256 GB 2133 MHz
Memory,ADATA,ECC U-DIMM 4X 256 GB 2400 MHz,Y,Y,2020,1480,23,75,,,,256,2400,DDR4 (ECC) 4X,1.25,256,1,7.9,ECC U-DIMM 4X,,1.58,2800,Prefabs/RAM/ADATA/ADATA_Premier_DDR4,ADATA ECC U-DIMM 4X 256 GB 2400 MHz
Memory,ADATA,ECC U-DIMM 4X 256 GB 2400 MHz,Y,Y,2020,1560,24,1,,,,256,2400,DDR4 (ECC) 4X,1.25,256,1,7.9,ECC U-DIMM 4X,,1.58,2800,Prefabs/RAM/ADATA/ADATA_Premier_DDR4,ADATA ECC U-DIMM 4X 256 GB 2400 MHz
Memory,ADATA,ECC U-DIMM 4X 256 GB 2666 MHz,Y,Y,2100,1620,24,45,,,,256,2666,DDR4 (ECC) 4X,1.25,256,1,8.2,ECC U-DIMM 4X,,1.58,3000,Prefabs/RAM/ADATA/ADATA_Premier_DDR4,ADATA ECC U-DIMM 4X 256 GB 2666 MHz
Memory,ADATA,ECC U-DIMM 4X 256 GB 2933 MHz,Y,Y,2180,1620,24,45,,,,256,2933,DDR4 (ECC) 4X,1.25,256,1,8.5,ECC U-DIMM 4X,,1.58,3233,Prefabs/RAM/ADATA/ADATA_Premier_DDR4,ADATA ECC U-DIMM 4X 256 GB 2933 MHz
Memory,ADATA,ECC U-DIMM 4X 256 GB 3200 MHz,Y,Y,2240,1620,25,15,,,,256,3200,DDR4 (ECC) 4X,1.25,256,1,8.8,ECC U-DIMM 4X,,1.58,3450,Prefabs/RAM/ADATA/ADATA_Premier_DDR4,ADATA ECC U-DIMM 4X 256 GB 3200 MHz
Memory,ADATA,ECC U-DIMM 4X 32 GB 2133 MHz,Y,Y,380,220,16,1,,,,32,2133,DDR4 (ECC) 4X,1.25,32,1,11.9,ECC U-DIMM 4X,,1.58,3400,Prefabs/RAM/ADATA/ADATA_Premier_DDR4,ADATA ECC U-DIMM 4X 32 GB 2133 MHz
Memory,ADATA,ECC U-DIMM 4X 32 GB 2400 MHz,Y,Y,460,260,16,45,,,,32,2400,DDR4 (ECC) 4X,1.25,32,1,14.4,ECC U-DIMM 4X,,1.58,3550,Prefabs/RAM/ADATA/ADATA_Premier_DDR4,ADATA ECC U-DIMM 4X 32 GB 2400 MHz
Memory,ADATA,ECC U-DIMM 4X 32 GB 2666 MHz,Y,Y,540,340,17,15,,,,32,2666,DDR4 (ECC) 4X,1.25,32,1,16.9,ECC U-DIMM 4X,,1.58,3650,Prefabs/RAM/ADATA/ADATA_Premier_DDR4,ADATA ECC U-DIMM 4X 32 GB 2666 MHz
Memory,ADATA,ECC U-DIMM 4X 32 GB 2933 MHz,Y,Y,620,380,17,95,,,,32,2933,DDR4 (ECC) 4X,1.25,32,1,19.4,ECC U-DIMM 4X,,1.58,3800,Prefabs/RAM/ADATA/ADATA_Premier_DDR4,ADATA ECC U-DIMM 4X 32 GB 2933 MHz
Memory,ADATA,ECC U-DIMM 4X 32 GB 3200 MHz,Y,Y,680,460,18,35,,,,32,3200,DDR4 (ECC) 4X,1.25,32,1,21.3,ECC U-DIMM 4X,,1.58,4000,Prefabs/RAM/ADATA/ADATA_Premier_DDR4,ADATA ECC U-DIMM 4X 32 GB 3200 MHz
Memory,ADATA,ECC U-DIMM 4X 64 GB 2133 MHz,Y,Y,620,320,16,1,,,,64,2133,DDR4 (ECC) 4X,1.25,64,1,9.7,ECC U-DIMM 4X,,1.58,3000,Prefabs/RAM/ADATA/ADATA_Premier_DDR4,ADATA ECC U-DIMM 4X 64 GB 2133 MHz
Memory,ADATA,ECC U-DIMM 4X 64 GB 2400 MHz,Y,Y,700,360,16,45,,,,64,2400,DDR4 (ECC) 4X,1.25,64,1,10.9,ECC U-DIMM 4X,,1.58,3100,Prefabs/RAM/ADATA/ADATA_Premier_DDR4,ADATA ECC U-DIMM 4X 64 GB 2400 MHz
Memory,ADATA,ECC U-DIMM 4X 64 GB 2666 MHz,Y,Y,780,388,17,15,,,,64,2666,DDR4 (ECC) 4X,1.25,64,1,12.2,ECC U-DIMM 4X,,1.58,3200,Prefabs/RAM/ADATA/ADATA_Premier_DDR4,ADATA ECC U-DIMM 4X 64 GB 2666 MHz
Memory,ADATA,ECC U-DIMM 4X 64 GB 2933 MHz,Y,Y,860,420,17,95,,,,64,2933,DDR4 (ECC) 4X,1.25,64,1,13.4,ECC U-DIMM 4X,,1.58,3400,Prefabs/RAM/ADATA/ADATA_Premier_DDR4,ADATA ECC U-DIMM 4X 64 GB 2933 MHz
Memory,ADATA,ECC U-DIMM 4X 64 GB 3200 MHz,Y,Y,920,480,18,35,,,,64,3200,DDR4 (ECC) 4X,1.25,64,1,14.4,ECC U-DIMM 4X,,1.58,3666,Prefabs/RAM/ADATA/ADATA_Premier_DDR4,ADATA ECC U-DIMM 4X 64 GB 3200 MHz
Memory,ADATA,ECC U-DIMM 64 GB 2133 MHz,Y,Y,485,355,22,25,,,,64,2133,DDR4 (ECC),1.25,64,1,9.3,ECC U-DIMM,,1.58,2800,Prefabs/RAM/ADATA/ADATA_Premier_DDR4,ADATA ECC U-DIMM 64 GB 2133 MHz
Memory,ADATA,ECC U-DIMM 64 GB 2400 MHz,Y,Y,505,370,22,75,,,,64,2400,DDR4 (ECC),1.25,64,1,9.3,ECC U-DIMM,,1.58,3000,Prefabs/RAM/ADATA/ADATA_Premier_DDR4,ADATA ECC U-DIMM 64 GB 2400 MHz
Memory,ADATA,ECC U-DIMM 64 GB 2400 MHz,Y,Y,505,390,23,1,,,,64,2400,DDR4 (ECC),1.25,64,1,9.3,ECC U-DIMM,,1.58,3000,Prefabs/RAM/ADATA/ADATA_Premier_DDR4,ADATA ECC U-DIMM 64 GB 2400 MHz
Memory,ADATA,ECC U-DIMM 64 GB 2666 MHz,Y,Y,525,405,23,45,,,,64,2666,DDR4 (ECC),1.25,64,1,9.3,ECC U-DIMM,,1.58,3200,Prefabs/RAM/ADATA/ADATA_Premier_DDR4,ADATA ECC U-DIMM 64 GB 2666 MHz
Memory,ADATA,ECC U-DIMM 64 GB 2933 MHz,Y,Y,545,405,23,45,,,,64,2933,DDR4 (ECC),1.25,64,1,9.3,ECC U-DIMM,,1.58,3433,Prefabs/RAM/ADATA/ADATA_Premier_DDR4,ADATA ECC U-DIMM 64 GB 2933 MHz
Memory,ADATA,ECC U-DIMM 64 GB 3200 MHz,Y,Y,560,405,24,15,,,,64,3200,DDR4 (ECC),1.25,64,1,9.3,ECC U-DIMM,,1.58,3650,Prefabs/RAM/ADATA/ADATA_Premier_DDR4,ADATA ECC U-DIMM 64 GB 3200 MHz
Memory,ADATA,ECC U-DIMM 8 GB 2133 MHz,Y,Y,95,55,15,1,,,,8,2133,DDR4 (ECC),1.25,8,1,9.3,ECC U-DIMM,,1.58,3600,Prefabs/RAM/ADATA/ADATA_Premier_DDR4,ADATA ECC U-DIMM 8 GB 2133 MHz
Memory,ADATA,ECC U-DIMM 8 GB 2400 MHz,Y,Y,115,65,15,45,,,,8,2400,DDR4 (ECC),1.25,8,1,9.3,ECC U-DIMM,,1.58,3750,Prefabs/RAM/ADATA/ADATA_Premier_DDR4,ADATA ECC U-DIMM 8 GB 2400 MHz
Memory,ADATA,ECC U-DIMM 8 GB 2666 MHz,Y,Y,135,85,16,15,,,,8,2666,DDR4 (ECC),1.25,8,1,9.3,ECC U-DIMM,,1.58,3850,Prefabs/RAM/ADATA/ADATA_Premier_DDR4,ADATA ECC U-DIMM 8 GB 2666 MHz
Memory,ADATA,ECC U-DIMM 8 GB 2933 MHz,Y,Y,155,95,16,95,,,,8,2933,DDR4 (ECC),1.25,8,1,9.3,ECC U-DIMM,,1.58,4000,Prefabs/RAM/ADATA/ADATA_Premier_DDR4,ADATA ECC U-DIMM 8 GB 2933 MHz
Memory,ADATA,ECC U-DIMM 8 GB 3200 MHz,Y,Y,170,115,17,35,,,,8,3200,DDR4 (ECC),1.25,8,1,9.3,ECC U-DIMM,,1.58,4200,Prefabs/RAM/ADATA/ADATA_Premier_DDR4,ADATA ECC U-DIMM 8 GB 3200 MHz
Memory,ADATA,ECC U-DIMM 8X 128 GB 2133 MHz,Y,Y,1240,640,16,1,,,,128,2133,DDR4 (ECC) 8X,1.25,128,1,9.7,ECC U-DIMM 8X,,1.58,2800,Prefabs/RAM/ADATA/ADATA_Premier_DDR4,ADATA ECC U-DIMM 8X 128 GB 2133 MHz
Memory,ADATA,ECC U-DIMM 8X 128 GB 2400 MHz,Y,Y,1400,720,16,45,,,,128,2400,DDR4 (ECC) 8X,1.25,128,1,10.9,ECC U-DIMM 8X,,1.58,2900,Prefabs/RAM/ADATA/ADATA_Premier_DDR4,ADATA ECC U-DIMM 8X 128 GB 2400 MHz
Memory,ADATA,ECC U-DIMM 8X 128 GB 2666 MHz,Y,Y,1560,776,17,15,,,,128,2666,DDR4 (ECC) 8X,1.25,128,1,12.2,ECC U-DIMM 8X,,1.58,3000,Prefabs/RAM/ADATA/ADATA_Premier_DDR4,ADATA ECC U-DIMM 8X 128 GB 2666 MHz
Memory,ADATA,ECC U-DIMM 8X 128 GB 2933 MHz,Y,Y,1720,840,17,95,,,,128,2933,DDR4 (ECC) 8X,1.25,128,1,13.4,ECC U-DIMM 8X,,1.58,3200,Prefabs/RAM/ADATA/ADATA_Premier_DDR4,ADATA ECC U-DIMM 8X 128 GB 2933 MHz
Memory,ADATA,ECC U-DIMM 8X 128 GB 3200 MHz,Y,Y,1840,960,18,35,,,,128,3200,DDR4 (ECC) 8X,1.25,128,1,14.4,ECC U-DIMM 8X,,1.58,3466,Prefabs/RAM/ADATA/ADATA_Premier_DDR4,ADATA ECC U-DIMM 8X 128 GB 3200 MHz
Memory,ADATA,ECC U-DIMM 8X 256 GB 2133 MHz,Y,Y,1960,1080,19,1,,,,256,2133,DDR4 (ECC) 8X,1.25,256,1,7.7,ECC U-DIMM 8X,,1.58,2600,Prefabs/RAM/ADATA/ADATA_Premier_DDR4,ADATA ECC U-DIMM 8X 256 GB 2133 MHz
Memory,ADATA,ECC U-DIMM 8X 256 GB 2400 MHz,Y,Y,2120,1200,19,45,,,,256,2400,DDR4 (ECC) 8X,1.25,256,1,8.3,ECC U-DIMM 8X,,1.58,2800,Prefabs/RAM/ADATA/ADATA_Premier_DDR4,ADATA ECC U-DIMM 8X 256 GB 2400 MHz
Memory,ADATA,ECC U-DIMM 8X 256 GB 2666 MHz,Y,Y,2280,1360,20,15,,,,256,2666,DDR4 (ECC) 8X,1.25,256,1,8.9,ECC U-DIMM 8X,,1.58,3000,Prefabs/RAM/ADATA/ADATA_Premier_DDR4,ADATA ECC U-DIMM 8X 256 GB 2666 MHz
Memory,ADATA,ECC U-DIMM 8X 256 GB 2993 MHz,Y,Y,2440,1440,20,95,,,,256,2993,DDR4 (ECC) 8X,1.25,256,1,9.5,ECC U-DIMM 8X,,1.58,3000,Prefabs/RAM/ADATA/ADATA_Premier_DDR4,ADATA ECC U-DIMM 8X 256 GB 2993 MHz
Memory,ADATA,ECC U-DIMM 8X 256 GB 3200 MHz,Y,,2560,1520,21,25,,,,256,3200,DDR4 (ECC) 8X,1.25,256,1,10.0,ECC U-DIMM 8X,,1.58,3200,Prefabs/RAM/ADATA/ADATA_Premier_DDR4,ADATA ECC U-DIMM 8X 256 GB 3200 MHz
Memory,ADATA,ECC U-DIMM 8X 256 GB 3200 MHz,Y,Y,2560,1520,21,25,,,,256,3200,DDR4 (ECC) 8X,1.25,256,1,10.0,ECC U-DIMM 8X,,1.58,3200,Prefabs/RAM/ADATA/ADATA_Premier_DDR4,ADATA ECC U-DIMM 8X 256 GB 3200 MHz
Memory,ADATA,ECC U-DIMM 8X 512 GB 2133 MHz,Y,Y,3880,2840,23,25,,,,512,2133,DDR4 (ECC) 8X,1.25,512,1,7.6,ECC U-DIMM 8X,,1.58,2400,Prefabs/RAM/ADATA/ADATA_Premier_DDR4,ADATA ECC U-DIMM 8X 512 GB 2133 MHz
Memory,ADATA,ECC U-DIMM 8X 512 GB 2400 MHz,Y,Y,4040,2960,23,75,,,,512,2400,DDR4 (ECC) 8X,1.25,512,1,7.9,ECC U-DIMM 8X,,1.58,2600,Prefabs/RAM/ADATA/ADATA_Premier_DDR4,ADATA ECC U-DIMM 8X 512 GB 2400 MHz
Memory,ADATA,ECC U-DIMM 8X 512 GB 2400 MHz,Y,Y,4040,3120,24,1,,,,512,2400,DDR4 (ECC) 8X,1.25,512,1,7.9,ECC U-DIMM 8X,,1.58,2600,Prefabs/RAM/ADATA/ADATA_Premier_DDR4,ADATA ECC U-DIMM 8X 512 GB 2400 MHz
Memory,ADATA,ECC U-DIMM 8X 512 GB 2666 MHz,Y,Y,4200,3240,24,45,,,,512,2666,DDR4 (ECC) 8X,1.25,512,1,8.2,ECC U-DIMM 8X,,1.58,2800,Prefabs/RAM/ADATA/ADATA_Premier_DDR4,ADATA ECC U-DIMM 8X 512 GB 2666 MHz
Memory,ADATA,ECC U-DIMM 8X 512 GB 2933 MHz,Y,Y,4360,3240,24,45,,,,512,2933,DDR4 (ECC) 8X,1.25,512,1,8.5,ECC U-DIMM 8X,,1.58,3033,Prefabs/RAM/ADATA/ADATA_Premier_DDR4,ADATA ECC U-DIMM 8X 512 GB 2933 MHz
Memory,ADATA,ECC U-DIMM 8X 512 GB 3200 MHz,Y,Y,4480,3240,25,15,,,,512,3200,DDR4 (ECC) 8X,1.25,512,1,8.8,ECC U-DIMM 8X,,1.58,3250,Prefabs/RAM/ADATA/ADATA_Premier_DDR4,ADATA ECC U-DIMM 8X 512 GB 3200 MHz
Memory,ADATA,ECC U-DIMM 8X 64 GB 2133 MHz,Y,Y,760,440,16,1,,,,64,2133,DDR4 (ECC) 8X,1.25,64,1,11.9,ECC U-DIMM 8X,,1.58,3200,Prefabs/RAM/ADATA/ADATA_Premier_DDR4,ADATA ECC U-DIMM 8X 64 GB 2133 MHz
Memory,ADATA,ECC U-DIMM 8X 64 GB 2400 MHz,Y,Y,920,520,16,45,,,,64,2400,DDR4 (ECC) 8X,1.25,64,1,14.4,ECC U-DIMM 8X,,1.58,3350,Prefabs/RAM/ADATA/ADATA_Premier_DDR4,ADATA ECC U-DIMM 8X 64 GB 2400 MHz
Memory,ADATA,ECC U-DIMM 8X 64 GB 2666 MHz,Y,Y,1080,680,17,15,,,,64,2666,DDR4 (ECC) 8X,1.25,64,1,16.9,ECC U-DIMM 8X,,1.58,3450,Prefabs/RAM/ADATA/ADATA_Premier_DDR4,ADATA ECC U-DIMM 8X 64 GB 2666 MHz
