Part Type,Manufacturer,Part Name,HEM,In Shop,Price,Sell Price,Level,Level %,Steam Version,Platform Lock,Lighting,Type,No Fan,Air Flow,AM4,LGA 1151 (Skylake),LGA 1151 (Kaby Lake),LGA 1151 (Coffee Lake),LGA 1200,TR4,sTRX4,LGA 2066,AM3+,FM2,FM2+,LGA 2011-V3,LGA 2566,LGA 3647-V1,LGA 3647-V3,LGA 4189,LGA 4189 (2P),LGA 4926,LGA 5903,SP3r1,SP3r2,SP6,LGA 3647-V3 (2P),LGA 3647-V3 (4P),LGA 3647-V3 (8P),LGA 4926 (2P),LGA 5903 (2P),SP3r1 (2P),SP3r2 (2P),SP6 (2P),CPU Socket List,CPU Socket List (HEM),Height,Size,Slots,Thickness,Air Pressure,DLC2 Random Jobs,Exclude From Random Jobs,Asset Path,Full Part Name
CPU Cooler - Air,ARCTIC,Freezer 33 eSports Edition (Green),,Y,50,17,6,60,1.0,,,Air Cooler,,100.0,Y,Y,Y,Y,Y,,,Y,,,,Y,Y,Y,Y,Y,,Y,,,,,,,,,,,,,"AM4, LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200, LGA 2011-V3, LGA 2066,","AM4, LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200, LGA 2011-V3, LGA 2066, LGA 2566, LGA 3647-V1, LGA 3647-V3, LGA 4189, LGA 4926,",150,,,,3.25,,,Prefabs/CoolingSystems/AirCoolers/Arctic/Arctic_Freezer_33_eSports_Edition_Green,ARCTIC Freezer 33 eSports Edition (Green),ARCTIC Freezer 33 eSports Edition (Green)
CPU Cooler - Air,ARCTIC,Freezer 33 eSports Edition (Red),,Y,50,17,6,1,1.0,,,Air Cooler,,100.0,Y,Y,Y,Y,Y,,,Y,,,,Y,Y,Y,Y,Y,,Y,,,,,,,,,,,,,"AM4, LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200, LGA 2011-V3, LGA 2066,","AM4, LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200, LGA 2011-V3, LGA 2066, LGA 2566, LGA 3647-V1, LGA 3647-V3, LGA 4189, LGA 4926,",150,,,,3.25,,,Prefabs/CoolingSystems/AirCoolers/Arctic/Arctic_Freezer_33_eSports_Edition,ARCTIC Freezer 33 eSports Edition (Red),ARCTIC Freezer 33 eSports Edition (Red)
CPU Cooler - Air,ARCTIC,Freezer 33 eSports Edition (White),,Y,50,17,6,40,1.0,,,Air Cooler,,100.0,Y,Y,Y,Y,Y,,,Y,,,,Y,Y,Y,Y,Y,,Y,,,,,,,,,,,,,"AM4, LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200, LGA 2011-V3, LGA 2066,","AM4, LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200, LGA 2011-V3, LGA 2066, LGA 2566, LGA 3647-V1, LGA 3647-V3, LGA 4189, LGA 4926,",150,,,,3.25,,,Prefabs/CoolingSystems/AirCoolers/Arctic/Arctic_Freezer_33_eSports_Edition_White,ARCTIC Freezer 33 eSports Edition (White),ARCTIC Freezer 33 eSports Edition (White)
CPU Cooler - Air,ARCTIC,Freezer 33 eSports Edition (Yellow),,Y,50,17,6,20,1.0,,,Air Cooler,,100.0,Y,Y,Y,Y,Y,,,Y,,,,Y,Y,Y,Y,Y,,Y,,,,,,,,,,,,,"AM4, LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200, LGA 2011-V3, LGA 2066,","AM4, LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200, LGA 2011-V3, LGA 2066, LGA 2566, LGA 3647-V1, LGA 3647-V3, LGA 4189, LGA 4926,",150,,,,3.25,,,Prefabs/CoolingSystems/AirCoolers/Arctic/Arctic_Freezer_33_eSports_Edition_Yellow,ARCTIC Freezer 33 eSports Edition (Yellow),ARCTIC Freezer 33 eSports Edition (Yellow)
CPU Cooler - Air,ARCTIC,Freezer 33 eSports ONE (Green),,Y,33,11,5,60,1.0,,,Air Cooler,,80.0,Y,Y,Y,Y,Y,,,Y,,,,Y,Y,Y,Y,Y,,Y,,,,,,,,,,,,,"AM4, LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200, LGA 2011-V3, LGA 2066,","AM4, LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200, LGA 2011-V3, LGA 2066, LGA 2566, LGA 3647-V1, LGA 3647-V3, LGA 4189, LGA 4926,",150,,,,3.0,,,Prefabs/CoolingSystems/AirCoolers/Arctic/Arctic_Freezer_33_eSports_ONE_Green,ARCTIC Freezer 33 eSports ONE (Green),ARCTIC Freezer 33 eSports ONE (Green)
CPU Cooler - Air,ARCTIC,Freezer 33 eSports ONE (Red),,Y,33,11,5,1,1.0,,,Air Cooler,,80.0,Y,Y,Y,Y,Y,,,Y,,,,Y,Y,Y,Y,Y,,Y,,,,,,,,,,,,,"AM4, LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200, LGA 2011-V3, LGA 2066,","AM4, LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200, LGA 2011-V3, LGA 2066, LGA 2566, LGA 3647-V1, LGA 3647-V3, LGA 4189, LGA 4926,",150,,,,3.0,,,Prefabs/CoolingSystems/AirCoolers/Arctic/Arctic_Freezer_33_eSports_ONE,ARCTIC Freezer 33 eSports ONE (Red),ARCTIC Freezer 33 eSports ONE (Red)
CPU Cooler - Air,ARCTIC,Freezer 33 eSports ONE (White),,Y,33,11,5,40,1.0,,,Air Cooler,,80.0,Y,Y,Y,Y,Y,,,Y,,,,Y,Y,Y,Y,Y,,Y,,,,,,,,,,,,,"AM4, LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200, LGA 2011-V3, LGA 2066,","AM4, LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200, LGA 2011-V3, LGA 2066, LGA 2566, LGA 3647-V1, LGA 3647-V3, LGA 4189, LGA 4926,",150,,,,3.0,,,Prefabs/CoolingSystems/AirCoolers/Arctic/Arctic_Freezer_33_eSports_ONE_White,ARCTIC Freezer 33 eSports ONE (White),ARCTIC Freezer 33 eSports ONE (White)
CPU Cooler - Air,ARCTIC,Freezer 33 eSports ONE (Yellow),,Y,33,11,5,20,1.0,,,Air Cooler,,80.0,Y,Y,Y,Y,Y,,,Y,,,,Y,Y,Y,Y,Y,,Y,,,,,,,,,,,,,"AM4, LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200, LGA 2011-V3, LGA 2066,","AM4, LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200, LGA 2011-V3, LGA 2066, LGA 2566, LGA 3647-V1, LGA 3647-V3, LGA 4189, LGA 4926,",150,,,,3.0,,,Prefabs/CoolingSystems/AirCoolers/Arctic/Arctic_Freezer_33_eSports_ONE_Yellow,ARCTIC Freezer 33 eSports ONE (Yellow),ARCTIC Freezer 33 eSports ONE (Yellow)
CPU Cooler - Air,ARCTIC,Freezer 33 PENTA,,Y,30,10,13,50,1.0,,,Air Cooler,,53.0,Y,Y,Y,Y,Y,,,Y,,,,Y,Y,,,,,,,,,,,,,,,,,,"AM4, LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200, LGA 2011-V3, LGA 2066,","AM4, LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200, LGA 2011-V3, LGA 2066, LGA 2566,",150,,,,,,,Prefabs/CoolingSystems/AirCoolers/Arctic/AC_Arctic_Freezer_33_Penta,ARCTIC Freezer 33 PENTA,ARCTIC Freezer 33 PENTA
CPU Cooler - Air,ARCTIC,Freezer 33 Plus,,Y,35,12,13,30,1.0,,,Air Cooler,,53.0,Y,Y,Y,Y,Y,,,Y,,,,Y,Y,,,,,,,,,,,,,,,,,,"AM4, LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200, LGA 2011-V3, LGA 2066,","AM4, LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200, LGA 2011-V3, LGA 2066, LGA 2566,",150,,,,,,,Prefabs/CoolingSystems/AirCoolers/Arctic/AC_Arctic_Freezer_33_Plus,ARCTIC Freezer 33 Plus,ARCTIC Freezer 33 Plus
CPU Cooler - Air,ARCTIC,Freezer 33 TR (Red),,Y,58,19,18,1,1.0,,,Air Cooler,,80.0,Y,,,,,Y,Y,Y,,,,Y,Y,,,,,,,Y,Y,Y,,,,,,,,,"AM4, LGA 2011-V3, LGA 2066, TR4, sTRX4,","AM4, LGA 2011-V3, LGA 2066, LGA 2566, TR4, sTRX4, SP3r1, SP3r2, SP6,",155,,,,3.0,,,Prefabs/CoolingSystems/AirCoolers/Arctic/Arctic_Freezer_33_TR,ARCTIC Freezer 33 TR (Red),ARCTIC Freezer 33 TR (Red)
CPU Cooler - Air,ARCTIC,Freezer 33 TR (White),,Y,58,19,18,1,1.0,,,Air Cooler,,80.0,Y,,,,,Y,Y,Y,,,,Y,Y,,,,,,,Y,Y,Y,,,,,,,,,"AM4, LGA 2011-V3, LGA 2066, TR4, sTRX4,","AM4, LGA 2011-V3, LGA 2066, LGA 2566, TR4, sTRX4, SP3r1, SP3r2, SP6,",155,,,,3.0,,,Prefabs/CoolingSystems/AirCoolers/Arctic/Arctic_Freezer_33_TR_White,ARCTIC Freezer 33 TR (White),ARCTIC Freezer 33 TR (White)
CPU Cooler - Air,ARCTIC,Freezer 34,,Y,30,10,7,30,1.7,PC,,Air Cooler,,53.0,Y,Y,Y,Y,Y,,,Y,,,,Y,Y,Y,Y,Y,,,,,,,,,,,,,,,"AM4, LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200, LGA 2011-V3, LGA 2066,","AM4, LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200, LGA 2011-V3, LGA 2066, LGA 2566, LGA 3647-V1, LGA 3647-V3, LGA 4189,",157,,,,2.0,,,v1_7_0/Prefabs/CoolingSystems/AirCoolers/Arctic/AC_Arctic_Freezer_34,ARCTIC Freezer 34,ARCTIC Freezer 34
CPU Cooler - Air,ARCTIC,Freezer 34 CO,,Y,30,10,7,30,1.7,PC,,Air Cooler,,53.0,Y,Y,Y,Y,Y,,,Y,,,,Y,Y,Y,Y,Y,,Y,,,,,,,,,,,,,"AM4, LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200, LGA 2011-V3, LGA 2066,","AM4, LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200, LGA 2011-V3, LGA 2066, LGA 2566, LGA 3647-V1, LGA 3647-V3, LGA 4189, LGA 4926,",157,,,,2.0,,,v1_7_0/Prefabs/CoolingSystems/AirCoolers/Arctic/AC_Arctic_Freezer_34_CO,ARCTIC Freezer 34 CO,ARCTIC Freezer 34 CO
CPU Cooler - Air,ARCTIC,Freezer 34 eSports (Full White),,Y,35,12,7,40,1.7,PC,,Air Cooler,,100.0,Y,Y,Y,Y,Y,,,Y,,,,Y,Y,Y,Y,Y,,Y,,,,,,,,,,,,,"AM4, LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200, LGA 2011-V3, LGA 2066,","AM4, LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200, LGA 2011-V3, LGA 2066, LGA 2566, LGA 3647-V1, LGA 3647-V3, LGA 4189, LGA 4926,",157,,,,2.1,,,v1_7_0/Prefabs/CoolingSystems/AirCoolers/Arctic/AC_Arctic_Freezer_34_eSports_FullWhite,ARCTIC Freezer 34 eSports (Full White),ARCTIC Freezer 34 eSports (Full White)
CPU Cooler - Air,ARCTIC,Freezer 34 eSports (Green),,Y,35,12,7,40,1.7,PC,,Air Cooler,,100.0,Y,Y,Y,Y,Y,,,Y,,,,Y,Y,Y,Y,Y,,Y,,,,,,,,,,,,,"AM4, LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200, LGA 2011-V3, LGA 2066,","AM4, LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200, LGA 2011-V3, LGA 2066, LGA 2566, LGA 3647-V1, LGA 3647-V3, LGA 4189, LGA 4926,",157,,,,2.1,,,v1_7_0/Prefabs/CoolingSystems/AirCoolers/Arctic/AC_Arctic_Freezer_34_eSports_Green,ARCTIC Freezer 34 eSports (Green),ARCTIC Freezer 34 eSports (Green)
CPU Cooler - Air,ARCTIC,Freezer 34 eSports (Grey),,Y,35,12,7,40,1.7,PC,,Air Cooler,,100.0,Y,Y,Y,Y,Y,,,Y,,,,Y,Y,Y,Y,Y,,Y,,,,,,,,,,,,,"AM4, LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200, LGA 2011-V3, LGA 2066,","AM4, LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200, LGA 2011-V3, LGA 2066, LGA 2566, LGA 3647-V1, LGA 3647-V3, LGA 4189, LGA 4926,",157,,,,2.1,,,v1_7_0/Prefabs/CoolingSystems/AirCoolers/Arctic/AC_Arctic_Freezer_34_eSports_Grey,ARCTIC Freezer 34 eSports (Grey),ARCTIC Freezer 34 eSports (Grey)
CPU Cooler - Air,ARCTIC,Freezer 34 eSports (Red),,Y,35,12,7,40,1.7,PC,,Air Cooler,,100.0,Y,Y,Y,Y,Y,,,Y,,,,Y,Y,Y,Y,Y,,Y,,,,,,,,,,,,,"AM4, LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200, LGA 2011-V3, LGA 2066,","AM4, LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200, LGA 2011-V3, LGA 2066, LGA 2566, LGA 3647-V1, LGA 3647-V3, LGA 4189, LGA 4926,",157,,,,2.1,,,v1_7_0/Prefabs/CoolingSystems/AirCoolers/Arctic/AC_Arctic_Freezer_34_eSports_Red,ARCTIC Freezer 34 eSports (Red),ARCTIC Freezer 34 eSports (Red)
CPU Cooler - Air,ARCTIC,Freezer 34 eSports (White),,Y,35,12,7,40,1.7,PC,,Air Cooler,,100.0,Y,Y,Y,Y,Y,,,Y,,,,Y,Y,Y,Y,Y,,Y,,,,,,,,,,,,,"AM4, LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200, LGA 2011-V3, LGA 2066,","AM4, LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200, LGA 2011-V3, LGA 2066, LGA 2566, LGA 3647-V1, LGA 3647-V3, LGA 4189, LGA 4926,",157,,,,2.1,,,v1_7_0/Prefabs/CoolingSystems/AirCoolers/Arctic/AC_Arctic_Freezer_34_eSports_White,ARCTIC Freezer 34 eSports (White),ARCTIC Freezer 34 eSports (White)
CPU Cooler - Air,ARCTIC,Freezer 34 eSports (Yellow),,Y,35,12,7,40,1.7,PC,,Air Cooler,,100.0,Y,Y,Y,Y,Y,,,Y,,,,Y,Y,Y,Y,Y,,Y,,,,,,,,,,,,,"AM4, LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200, LGA 2011-V3, LGA 2066,","AM4, LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200, LGA 2011-V3, LGA 2066, LGA 2566, LGA 3647-V1, LGA 3647-V3, LGA 4189, LGA 4926,",157,,,,2.1,,,v1_7_0/Prefabs/CoolingSystems/AirCoolers/Arctic/AC_Arctic_Freezer_34_eSports_Yellow,ARCTIC Freezer 34 eSports (Yellow),ARCTIC Freezer 34 eSports (Yellow)
CPU Cooler - Air,ARCTIC,Freezer 34 eSports DUO (All white),,Y,50,17,30,1,1.15,,,Air Cooler,,160.0,Y,Y,Y,Y,Y,,,Y,,,,Y,,,,,,,,,,,,,,,,,,,"AM4, LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200, LGA 2011-V3, LGA 2066,","AM4, LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200, LGA 2011-V3, LGA 2066,",157,,,,2.1,,,v1_15_0/Prefabs/CoolerSystems/AirCoolers/Artic/AC_ARCTIC_Freezer_34_eSports_DUO_AllWHITE,ARCTIC Freezer 34 eSports DUO (All white),ARCTIC Freezer 34 eSports DUO (All white)
CPU Cooler - Air,ARCTIC,Freezer 34 eSports DUO (Green),,Y,50,17,30,1,1.15,,,Air Cooler,,160.0,Y,Y,Y,Y,Y,,,Y,,,,Y,,,,,,,,,,,,,,,,,,,"AM4, LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200, LGA 2011-V3, LGA 2066,","AM4, LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200, LGA 2011-V3, LGA 2066,",157,,,,2.1,,,v1_15_0/Prefabs/CoolerSystems/AirCoolers/Artic/AC_ARCTIC_Freezer_34_eSports_DUO_GREEN,ARCTIC Freezer 34 eSports DUO (Green),ARCTIC Freezer 34 eSports DUO (Green)
CPU Cooler - Air,ARCTIC,Freezer 34 eSports DUO (Grey),,Y,50,17,30,1,1.15,,,Air Cooler,,160.0,Y,Y,Y,Y,Y,,,Y,,,,Y,,,,,,,,,,,,,,,,,,,"AM4, LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200, LGA 2011-V3, LGA 2066,","AM4, LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200, LGA 2011-V3, LGA 2066,",157,,,,2.1,,,v1_15_0/Prefabs/CoolerSystems/AirCoolers/Artic/AC_ARCTIC_Freezer_34_eSports_DUO_GREY,ARCTIC Freezer 34 eSports DUO (Grey),ARCTIC Freezer 34 eSports DUO (Grey)
CPU Cooler - Air,ARCTIC,Freezer 34 eSports DUO (Red),,Y,50,17,30,1,1.15,,,Air Cooler,,160.0,Y,Y,Y,Y,Y,,,Y,,,,Y,,,,,,,,,,,,,,,,,,,"AM4, LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200, LGA 2011-V3, LGA 2066,","AM4, LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200, LGA 2011-V3, LGA 2066,",157,,,,2.1,,,v1_15_0/Prefabs/CoolerSystems/AirCoolers/Artic/AC_ARCTIC_Freezer_34_eSports_DUO_RED,ARCTIC Freezer 34 eSports DUO (Red),ARCTIC Freezer 34 eSports DUO (Red)
CPU Cooler - Air,ARCTIC,Freezer 34 eSports DUO (White),,Y,50,17,30,1,1.15,,,Air Cooler,,160.0,Y,Y,Y,Y,Y,,,Y,,,,Y,,,,,,,,,,,,,,,,,,,"AM4, LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200, LGA 2011-V3, LGA 2066,","AM4, LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200, LGA 2011-V3, LGA 2066,",157,,,,2.1,,,v1_15_0/Prefabs/CoolerSystems/AirCoolers/Artic/AC_ARCTIC_Freezer_34_eSports_DUO_WHITE,ARCTIC Freezer 34 eSports DUO (White),ARCTIC Freezer 34 eSports DUO (White)
CPU Cooler - Air,ARCTIC,Freezer 34 eSports DUO (Yellow),,Y,50,17,30,1,1.15,,,Air Cooler,,160.0,Y,Y,Y,Y,Y,,,Y,,,,Y,,,,,,,,,,,,,,,,,,,"AM4, LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200, LGA 2011-V3, LGA 2066,","AM4, LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200, LGA 2011-V3, LGA 2066,",157,,,,2.1,,,v1_15_0/Prefabs/CoolerSystems/AirCoolers/Artic/AC_ARCTIC_Freezer_34_eSports_DUO_YELLOW,ARCTIC Freezer 34 eSports DUO (Yellow),ARCTIC Freezer 34 eSports DUO (Yellow)
