Part Type,Chipset Brand,Chipset Series,Chipset,Manufacturer,Part Name,HEM,In Shop,Part Ranking Score,Price,Sell Price,Level,Level %,Steam Version,Platform Lock,Lighting,VRAM (GB),GPU Tuner Min Core Freq,Base Core Freq,OC Base Core Freq,Max Core Freq,GPU Tuner Min Mem Freq,Base Mem Freq,OC Base Mem Freq,Max Mem Freq,Length,Wattage,Multi-GPU,Slot Size,GPU Thermal Throttling,GPU % Power Increase,Power Connectors,Rigid SLI Bridge Model,Score to value ratio,Target STV ratio,Single GPU Graphics Score,Double GPU Graphics Score,Dual GPU performance increase,OC Single GPU score,OC Double GPU score,GT1 Single Core Clock Multiplier,GT1 Single Mem Clock Multiplier,GT1 Single Benchmark Adjustment,GT2 Single Core Clock Multiplier,GT2 Single Mem Clock Multiplier,GT2 Single Benchmark Adjustment,GT1 Dual Core Clock Multiplier,GT1 Dual Mem Clock Multiplier,GT1 Dual Benchmark Adjustment,GT2 Dual Core Clock Multiplier,GT2 Dual Mem Clock Multiplier,GT2 Dual Benchmark Adjustment,Normal GPU max clock,Normal GPU Max mem clock,Boost Multiplier,Score increase,Is AIO,Next Part ID In Combo,Exclude From Random Jobs,DLC2 Random Jobs,Chipset Series Sort,Asset Path,Full Part Name
GPU,NVIDIA GeForce,GTX 900,GeForce GTX 970,MSI,GeForce GTX 970 GAMING 4G Golden Edition,,Y,2255,285,95,3,85,1.0,,White,4,858,1279,1525,1700,1306,1753,2000,2200,277,148,SLI,2.0,95,20,8-pin + 6-pin,,12.1,12.0,3441,6681,1.9415867480383608,4123.0,7957.0,0.015306,0.002396,-1.22474,0.014656,0.00146,-1.67781,0.033008,0.0,1.78075,0.030307,0.0,-0.83255,,,,,,,,,102,Prefabs/GPU/MSI/MSI_GTX_970G4G_GoldEdition,MSI GeForce GTX 970 GAMING 4G Golden Edition,MSI GeForce GTX 970 GAMING 4G Golden Edition
GPU,NVIDIA GeForce,GTX 900,GeForce GTX 970,MSI,GeForce GTX 970 GAMING LE 100ME,,Y,2158,275,92,3,1,1.0,,White,4,732,1216,1525,1700,1306,1753,2000,2200,277,148,SLI,2.0,95,20,8-pin + 6-pin,,11.9,12.0,3286,6354,1.9336579427875837,4123.0,7957.0,0.015306,0.002396,-1.22474,0.014656,0.00146,-1.67781,0.033008,0.0,1.78075,0.030307,0.0,-0.83255,,,,,,,,,102,Prefabs/GPU/MSI/MSI_GTX_970GLE100ME,MSI GeForce GTX 970 GAMING LE 100ME,MSI GeForce GTX 970 GAMING LE 100ME
GPU,NVIDIA GeForce,GTX 900,GeForce GTX 970,Shean,GeForce GTX 970 GAMER,,Y,2100,265,88,1,1,1.0,,,4,656,1178,1525,1700,1306,1753,2000,2200,147,148,SLI,1.5,95,20,,,12.0,12.0,3193,6157,1.928280613842781,4123.0,7957.0,0.015306,0.002396,-1.22474,0.014656,0.00146,-1.67781,0.033008,0.0,1.78075,0.030307,0.0,-0.83255,,,,,,,,,102,Prefabs/Generic/GPU,Shean GeForce GTX 970 GAMER,Shean GeForce GTX 970 GAMER
GPU,NVIDIA GeForce,GTX 900,GeForce GTX 970,Shean,GeForce GTX 970 GAMER XL,,Y,2197,280,93,1,1,1.0,,,4,782,1241,1525,1700,1306,1753,2000,2200,147,148,SLI,1.5,95,20,,,12.0,12.0,3348,6484,1.936678614097969,4123.0,7957.0,0.015306,0.002396,-1.22474,0.014656,0.00146,-1.67781,0.033008,0.0,1.78075,0.030307,0.0,-0.83255,,,,,,,,,102,Prefabs/Generic/GPU,Shean GeForce GTX 970 GAMER XL,Shean GeForce GTX 970 GAMER XL
GPU,NVIDIA GeForce,GTX 900,GeForce GTX 980,MSI,GeForce GTX 980 GAMING 4G LE,,Y,2654,350,117,3,1,1.0,,White,4,806,1253,1525,1700,1306,1753,2000,2200,279,165,SLI,2.0,95,20,8-pin + 6-pin,,11.6,11.5,4051,7915,1.9538385583806468,4903.0,9633.0,0.019121,0.000676,1.405064,0.018016,0.000474,-0.30466,0.034122,0.007068,-2.88329,0.0327,0.004327,-3.71863,,,,,,,,,102,Prefabs/GPU/MSI/MSI_GTX_980G4GLE,MSI GeForce GTX 980 GAMING 4G LE,MSI GeForce GTX 980 GAMING 4G LE
GPU,NVIDIA GeForce,GTX 900,GeForce GTX 980,Shean,GeForce GTX 980 GAMER,,Y,2584,340,113,3,50,1.0,,,4,732,1216,1525,1700,1306,1753,2000,2200,147,165,SLI,1.5,95,20,,,11.6,11.5,3938,7712,1.958354494667344,4903.0,9633.0,0.019121,0.000676,1.405064,0.018016,0.000474,-0.30466,0.034122,0.007068,-2.88329,0.0327,0.004327,-3.71863,,,,,,,,,102,Prefabs/Generic/GPU,Shean GeForce GTX 980 GAMER,Shean GeForce GTX 980 GAMER
GPU,NVIDIA GeForce,GTX 900,GeForce GTX 980,Shean,GeForce GTX 980 GAMER XL,,Y,2704,375,125,3,66,1.0,,,4,858,1279,1525,1700,1306,1753,2000,2200,147,165,SLI,1.5,95,20,,,11.0,11.0,4130,8058,1.951089588377724,4903.0,9633.0,0.019121,0.000676,1.405064,0.018016,0.000474,-0.30466,0.034122,0.007068,-2.88329,0.0327,0.004327,-3.71863,,,,,,,,,102,Prefabs/Generic/GPU,Shean GeForce GTX 980 GAMER XL,Shean GeForce GTX 980 GAMER XL
GPU,NVIDIA GeForce,GTX 900,GeForce GTX 980 Ti,MSI,GeForce GTX 980 Ti GAMING 6G,,Y,3537,490,163,4,60,1.0,,White,6,958,1279,1450,1600,1348,1774,2000,2200,277,250,SLI,2.0,95,20,8-pin + 6-pin,,11.0,11.0,5408,10617,1.9632026627218935,6207.0,12268.0,0.0241,0.004619,-3.64611,0.02254,0.003327,-3.83912,0.042497,0.014065,-9.40513,0.038446,0.013844,-13.4455,,,,,,,,,102,Prefabs/GPU/MSI/MSI_GTX_980TiG6G,MSI GeForce GTX 980 Ti GAMING 6G,MSI GeForce GTX 980 Ti GAMING 6G
GPU,NVIDIA GeForce,GTX 900,GeForce GTX 980 Ti,MSI,GeForce GTX 980 Ti GAMING 6G GOLDEN EDITION,,Y,3566,495,165,4,30,1.0,,White,6,982,1291,1450,1600,1348,1774,2000,2200,277,250,SLI,2.0,95,20,8-pin + 6-pin,,11.0,11.0,5454,10696,1.9611294462779612,6207.0,12268.0,0.0241,0.004619,-3.64611,0.02254,0.003327,-3.83912,0.042497,0.014065,-9.40513,0.038446,0.013844,-13.4455,,,,,,,,,102,Prefabs/GPU/MSI/MSI_GTX_980TiG6G_GoldEdition,MSI GeForce GTX 980 Ti GAMING 6G GOLDEN EDITION,MSI GeForce GTX 980 Ti GAMING 6G GOLDEN EDITION
GPU,NVIDIA GeForce,GTX 900,GeForce GTX 980 Ti,MSI,GeForce GTX 980 Ti GAMING 6G LE,,Y,3129,435,145,4,1,1.0,,White,6,528,1114,1450,1700,1306,1753,2000,2200,277,250,SLI,2.0,95,20,8-pin + 6-pin,,11.0,11.0,4764,9475,1.9888748950461796,6207.0,12268.0,0.0241,0.004619,-3.64611,0.02254,0.003327,-3.83912,0.042497,0.014065,-9.40513,0.038446,0.013844,-13.4455,,,,,,,,,102,Prefabs/GPU/MSI/MSI_GTX_980TiG6GLE,MSI GeForce GTX 980 Ti GAMING 6G LE,MSI GeForce GTX 980 Ti GAMING 6G LE
GPU,NVIDIA GeForce,GTX 1000,GeForce GT 1030,EVGA,GeForce GT 1030 SC,,Y,661,75,25,5,1,1.0,,,2,1288,1544,1680,1800,1004,1502,1800,2000,169,30,,1.5,95,20,,,13.3,13.0,1000,0,,1124.0,0.0,0.002248,0.001908,0.273974,0.002101,0.001258,0.528569,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,103,Prefabs/GPU/EVGA/EVGA_GTX_1030_SC,EVGA GeForce GT 1030 SC,EVGA GeForce GT 1030 SC
GPU,NVIDIA GeForce,GTX 1000,GeForce GT 1030,GIGABYTE,GeForce GT 1030 OC 2G,,Y,661,75,25,5,50,1.0,,,2,1288,1544,1680,1800,1004,1502,1800,2000,168,30,,1.0,95,20,,,13.3,13.0,1000,0,,1124.0,0.0,0.002248,0.001908,0.273974,0.002101,0.001258,0.528569,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,103,Prefabs/GPU/GigaByte/GigaByte_GTX1030,GIGABYTE GeForce GT 1030 OC 2G,GIGABYTE GeForce GT 1030 OC 2G
GPU,NVIDIA GeForce,GTX 1000,GeForce GTX 1050,GIGABYTE,GeForce GTX 1050 Windforce OC 2G,,Y,1019,120,40,1,1,1.0,,,2,962,1531,1850,2100,1404,1752,1950,2100,229,75,,2.0,95,20,6-pin,,13.0,13.0,1556,0,,1944.0,0.0,0.007992,0.00044,-2.8124,0.006501,0.000376,-1.73724,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,103,Prefabs/GPU/GigaByte/GigaByte_Windforce_GTX1050,GIGABYTE GeForce GTX 1050 Windforce OC 2G,GIGABYTE GeForce GTX 1050 Windforce OC 2G
GPU,NVIDIA GeForce,GTX 1000,GeForce GTX 1050,MSI,GeForce GTX 1050 GAMING 2G,,Y,969,120,40,1,1,1.0,,RGB,2,836,1468,1850,2100,1404,1752,1950,2100,229,75,,2.0,95,20,6-pin,,12.3,12.5,1481,0,,1944.0,0.0,0.007992,0.00044,-2.8124,0.006501,0.000376,-1.73724,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,103,Prefabs/GPU/MSI/GTX1050,MSI GeForce GTX 1050 GAMING 2G,MSI GeForce GTX 1050 GAMING 2G
GPU,NVIDIA GeForce,GTX 1000,GeForce GTX 1050,MSI,GeForce GTX 1050 GAMING X 2G,,Y,1019,125,42,1,1,1.0,,RGB,2,962,1531,1850,2100,1404,1752,1950,2100,229,75,,2.0,95,20,6-pin,,12.4,12.5,1556,0,,1944.0,0.0,0.007992,0.00044,-2.8124,0.006501,0.000376,-1.73724,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,103,Prefabs/GPU/MSI/GTX1050,MSI GeForce GTX 1050 GAMING X 2G,MSI GeForce GTX 1050 GAMING X 2G
GPU,NVIDIA GeForce,GTX 1000,GeForce GTX 1050 Ti,EVGA,GeForce GTX 1050 Ti FTW GAMING,,Y,1384,165,55,1,1,1.0,,,4,886,1493,1850,2100,1304,1752,2000,2200,257,75,,2.0,95,20,6-pin,,12.6,12.5,2073,0,,2486.0,0.0,0.00654,0.001127,2.110894,0.006342,0.000657,1.008063,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,103,Prefabs/GPU/EVGA/EVGA_GeForceGTX1050_Ti_FTW_GAMING,EVGA GeForce GTX 1050 Ti FTW GAMING,EVGA GeForce GTX 1050 Ti FTW GAMING
GPU,NVIDIA GeForce,GTX 1000,GeForce GTX 1050 Ti,EVGA,GeForce GTX 1050 Ti GAMING,,Y,1318,155,52,1,1,1.0,,,4,684,1392,1850,2100,1304,1752,2000,2200,145,75,,2.0,95,20,,,12.7,12.5,1966,0,,2486.0,0.0,0.00654,0.001127,2.110894,0.006342,0.000657,1.008063,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,103,Prefabs/GPU/EVGA/EVGA_GTX_1050Ti_Gaming,EVGA GeForce GTX 1050 Ti GAMING,EVGA GeForce GTX 1050 Ti GAMING
GPU,NVIDIA GeForce,GTX 1000,GeForce GTX 1050 Ti,GIGABYTE,GeForce GTX 1050 Ti Windforce OC 4G,,Y,1368,165,55,1,1,1.0,,,4,836,1468,1850,2100,1304,1752,2000,2200,229,75,,2.0,95,20,6-pin,,12.4,12.5,2046,0,,2486.0,0.0,0.00654,0.001127,2.110894,0.006342,0.000657,1.008063,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,103,Prefabs/GPU/GigaByte/GigaByte_Windforce_GTX1050Ti,GIGABYTE GeForce GTX 1050 Ti Windforce OC 4G,GIGABYTE GeForce GTX 1050 Ti Windforce OC 4G
GPU,NVIDIA GeForce,GTX 1000,GeForce GTX 1050 Ti,MSI,GeForce GTX 1050 Ti GAMING 4G,,Y,1335,160,53,1,1,1.0,,RGB,4,734,1417,1850,2100,1304,1752,2000,2200,229,75,,2.0,95,20,6-pin,,12.5,12.5,1992,0,,2486.0,0.0,0.00654,0.001127,2.110894,0.006342,0.000657,1.008063,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,103,Prefabs/GPU/MSI/GTX1050,MSI GeForce GTX 1050 Ti GAMING 4G,MSI GeForce GTX 1050 Ti GAMING 4G
GPU,NVIDIA GeForce,GTX 1000,GeForce GTX 1050 Ti,MSI,GeForce GTX 1050 Ti GAMING X 4G,,Y,1368,165,55,1,1,1.0,,RGB,4,836,1468,1850,2100,1304,1752,2000,2200,229,75,,2.0,95,20,6-pin,,12.4,12.5,2046,0,,2486.0,0.0,0.00654,0.001127,2.110894,0.006342,0.000657,1.008063,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,103,Prefabs/GPU/MSI/GTX1050,MSI GeForce GTX 1050 Ti GAMING X 4G,MSI GeForce GTX 1050 Ti GAMING X 4G
GPU,NVIDIA GeForce,GTX 1000,GeForce GTX 1050 Ti,ZOTAC,GeForce GTX 1050 Ti OC Edition,,Y,1393,165,55,1,40,1.0,,,4,912,1506,1850,2100,1304,1752,2000,2200,174,75,,1.5,95,20,,,12.6,12.5,2087,0,,2486.0,0.0,0.00654,0.001127,2.110894,0.006342,0.000657,1.008063,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,103,Prefabs/GPU/ZOTAC/ZOTAC_GeForce_1050Ti_OC_Mini,ZOTAC GeForce GTX 1050 Ti OC Edition,ZOTAC GeForce GTX 1050 Ti OC Edition
GPU,NVIDIA GeForce,GTX 1000,GeForce GTX 1060,ASUS,ROG Strix GeForce GTX 1060 OC Edition,,Y,2625,350,117,6,90,1.0,,RGB,6,1394,1847,2130,2300,1604,2052,2300,2500,298,120,,2.5,95,20,8-pin,,11.5,11.5,4018,0,,4701.0,0.0,0.012399,0.0033,-3.41774,0.011958,0.002489,-4.21902,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,103,Prefabs/GPU/ASUS/ASUS_Strix_1060_OC,ASUS ROG Strix GeForce GTX 1060 OC Edition,ASUS ROG Strix GeForce GTX 1060 OC Edition
GPU,NVIDIA GeForce,GTX 1000,GeForce GTX 1060,EVGA,GeForce GTX 1060 FTW2 GAMING,,Y,2625,350,117,9,20,1.0,,,6,1420,1860,2130,2300,1504,2002,2300,2500,267,120,,2.0,95,20,8-pin,,11.5,11.5,4021,0,,4701.0,0.0,0.012399,0.0033,-3.41774,0.011958,0.002489,-4.21902,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,103,Prefabs/GPU/EVGA/EVGA_GTX_1060_FTW2_Gaming,EVGA GeForce GTX 1060 FTW2 GAMING,EVGA GeForce GTX 1060 FTW2 GAMING
GPU,NVIDIA GeForce,GTX 1000,GeForce GTX 1060,EVGA,GeForce GTX 1060 GAMING 3GB,,Y,2314,295,98,6,60,1.0,,,3,1016,1708,2130,2400,1504,2002,2300,2500,173,120,,2.0,95,20,6-pin,,12.0,12.0,3531,0,,4342.0,0.0,0.010056,0.003354,-0.7444,0.009068,0.002859,-1.08445,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,103,Prefabs/GPU/EVGA/EVGA_GTX_1060_Gaming_3GB,EVGA GeForce GTX 1060 GAMING 3GB,EVGA GeForce GTX 1060 GAMING 3GB
GPU,NVIDIA GeForce,GTX 1000,GeForce GTX 1060,GIGABYTE,AORUS GeForce GTX 1060 6G,,Y,2625,350,117,9,30,1.0,,RGB,6,1420,1860,2130,2300,1504,2002,2300,2500,280,120,,2.0,95,20,8-pin,,11.5,11.5,4021,0,,4701.0,0.0,0.012399,0.0033,-3.41774,0.011958,0.002489,-4.21902,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,103,Prefabs/GPU/GigaByte/GigaByte_AORUS_GTX1060,GIGABYTE AORUS GeForce GTX 1060 6G,GIGABYTE AORUS GeForce GTX 1060 6G
GPU,NVIDIA GeForce,GTX 1000,GeForce GTX 1060,GIGABYTE,AORUS GeForce GTX 1060 Xtreme Edition 6G,,Y,2666,355,118,9,1,1.0,,RGB,6,1446,1873,2130,2300,1658,2079,2300,2500,281,120,,2.5,95,20,8-pin,,11.5,11.5,4083,0,,4701.0,0.0,0.012399,0.0033,-3.41774,0.011958,0.002489,-4.21902,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,103,Prefabs/GPU/Gigabyte/AORUS_GeForce_GTX_1060_Xtreme_Edition_6GB,GIGABYTE AORUS GeForce GTX 1060 Xtreme Edition 6G,GIGABYTE AORUS GeForce GTX 1060 Xtreme Edition 6G
GPU,NVIDIA GeForce,GTX 1000,GeForce GTX 1060,MSI,GeForce GTX 1060 GAMING 3G,,Y,2339,300,100,6,80,1.0,,RGB,3,1066,1733,2130,2400,1504,2002,2300,2500,277,120,,2.0,95,20,8-pin,,11.9,12.0,3570,0,,4342.0,0.0,0.010056,0.003354,-0.7444,0.009068,0.002859,-1.08445,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,103,Prefabs/GPU/MSI/GTX1060,MSI GeForce GTX 1060 GAMING 3G,MSI GeForce GTX 1060 GAMING 3G
GPU,NVIDIA GeForce,GTX 1000,GeForce GTX 1060,MSI,GeForce GTX 1060 GAMING 6G,,Y,2467,330,110,9,80,1.0,,RGB,6,1066,1733,2130,2400,1504,2002,2300,2500,277,120,,2.0,95,20,8-pin,,11.4,11.5,3767,0,,4701.0,0.0,0.012399,0.0033,-3.41774,0.011958,0.002489,-4.21902,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,103,Prefabs/GPU/MSI/GTX1060,MSI GeForce GTX 1060 GAMING 6G,MSI GeForce GTX 1060 GAMING 6G
GPU,NVIDIA GeForce,GTX 1000,GeForce GTX 1060,MSI,GeForce GTX 1060 GAMING VR 3G,,Y,2352,300,100,6,20,1.0,,RGB,3,1092,1746,2130,2400,1504,2002,2300,2500,277,120,,2.0,95,20,8-pin,,12.0,12.0,3590,0,,4342.0,0.0,0.010056,0.003354,-0.7444,0.009068,0.002859,-1.08445,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,103,Prefabs/GPU/MSI/GTX1060VR,MSI GeForce GTX 1060 GAMING VR 3G,MSI GeForce GTX 1060 GAMING VR 3G
GPU,NVIDIA GeForce,GTX 1000,GeForce GTX 1060,MSI,GeForce GTX 1060 GAMING VR 6G,,Y,2483,330,110,9,70,1.0,,RGB,6,1092,1746,2130,2400,1504,2002,2300,2500,277,120,,2.0,95,20,8-pin,,11.5,11.5,3793,0,,4701.0,0.0,0.012399,0.0033,-3.41774,0.011958,0.002489,-4.21902,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,103,Prefabs/GPU/MSI/GTX1060VR,MSI GeForce GTX 1060 GAMING VR 6G,MSI GeForce GTX 1060 GAMING VR 6G
GPU,NVIDIA GeForce,GTX 1000,GeForce GTX 1060,MSI,GeForce GTX 1060 GAMING VR X 3G,,Y,2424,310,103,6,1,1.0,,RGB,3,1318,1809,2130,2300,1554,2027,2300,2500,277,120,,2.0,95,20,8-pin,,11.9,12.0,3701,0,,4342.0,0.0,0.010056,0.003354,-0.7444,0.009068,0.002859,-1.08445,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,103,Prefabs/GPU/MSI/GTX1060VR,MSI GeForce GTX 1060 GAMING VR X 3G,MSI GeForce GTX 1060 GAMING VR X 3G
GPU,NVIDIA GeForce,GTX 1000,GeForce GTX 1060,MSI,GeForce GTX 1060 GAMING VR X 6G,,Y,2570,340,113,9,50,1.0,,RGB,6,1318,1809,2130,2300,1554,2027,2300,2500,277,120,,2.0,95,20,8-pin,,11.6,11.5,3931,0,,4701.0,0.0,0.012399,0.0033,-3.41774,0.011958,0.002489,-4.21902,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,103,Prefabs/GPU/MSI/GTX1060VR,MSI GeForce GTX 1060 GAMING VR X 6G,MSI GeForce GTX 1060 GAMING VR X 6G
