Part Type,Manufacturer,Part Name,HEM,In Shop,Price,Sell Price,Level,Level %,Steam Version,Platform Lock,Is DLC,Lighting,Size,Mini-ITX,Micro-ATX,S-ATX,E-ATX,XL-ATX,SSI-EEB,PSU ATX,PSU SFX,Max 120mm Radiators,Max 140mm Radiators,Max PSU length,Max GPU length,Max CPU Fan Height,Exclude From Random Jobs,Use For WC Jobs,DLC Epic Id,Is Open Bench,Case Fan Type 1 Count,Case Fan Type 1 Model,Case Fan Type 1 Decorator,Case Fan Type 2 Count,Case Fan Type 2 Model,Case Fan Type 2 Decorator,Case Fan Type 3 Count,Case Fan Type 3 Model,Case Fan Type 3 Decorator,Restricted GPU length,Inherent Cooling,Price of Case Fans,Price of Case Without Case Fans,DLC2 Random Jobs,Asset Path,Full Part Name
Case,be quiet!,Dark Base Pro 900 rev. 2 (Orange),,Y,280,93,26,50,1.1,,,,Full Tower,Y,Y,Y,Y,,,Y,,3,3,284.0,472,185,,Y,,,3,be quiet! Silent Wings 3 140mm,,,,,,,,323.0,0.0,24,256,Exclude,Prefabs/Cases/bequiet/CAS_bequiet_DARKBASEPRO900,be quiet! Dark Base Pro 900 rev. 2 (Orange),be quiet! Dark Base Pro 900 rev. 2 (Orange)
Case,be quiet!,Dark Base Pro 900 rev. 2 (Silver),,Y,280,93,26,50,1.1,,,,Full Tower,Y,Y,Y,Y,,,Y,,3,3,284.0,472,185,,Y,,,3,be quiet! Silent Wings 3 140mm,,,,,,,,323.0,0.0,24,256,,Prefabs/Cases/bequiet/CAS_bequiet_DARKBASEPRO900_Gray,be quiet! Dark Base Pro 900 rev. 2 (Silver),be quiet! Dark Base Pro 900 rev. 2 (Silver)
Case,be quiet!,Pure Base 500 (Black Window),,Y,80,27,17,40,1.9,PC,,,Mid Tower,Y,Y,Y,,,,Y,,3,2,258.0,369,190,,Y,,,2,be quiet! Pure Wings 2 140mm,,,,,,,,323.0,0.0,26,54,,v1_9_0/Prefabs/Cases/bequiet/CAS_Bequiet_PUREBASE500_Window,be quiet! Pure Base 500 (Black Window),be quiet! Pure Base 500 (Black Window)
Case,be quiet!,Pure Base 500 (Black),,Y,70,23,17,40,1.9,PC,,,Mid Tower,Y,Y,Y,,,,Y,,3,2,258.0,369,190,,Y,,,2,be quiet! Pure Wings 2 140mm,,,,,,,,323.0,0.0,26,44,,v1_9_0/Prefabs/Cases/bequiet/CAS_Bequiet_PUREBASE500,be quiet! Pure Base 500 (Black),be quiet! Pure Base 500 (Black)
Case,be quiet!,Pure Base 500 (Metallic Grey Window),,Y,80,27,17,40,1.9,PC,,,Mid Tower,Y,Y,Y,,,,Y,,3,2,258.0,369,190,,Y,,,2,be quiet! Pure Wings 2 140mm,,,,,,,,323.0,0.0,26,54,,v1_9_0/Prefabs/Cases/bequiet/CAS_Bequiet_PUREBASE500_Window_Grey,be quiet! Pure Base 500 (Metallic Grey Window),be quiet! Pure Base 500 (Metallic Grey Window)
Case,be quiet!,Pure Base 500 (Metallic Grey),,Y,70,23,17,40,1.9,PC,,,Mid Tower,Y,Y,Y,,,,Y,,3,2,258.0,369,190,,Y,,,2,be quiet! Pure Wings 2 140mm,,,,,,,,323.0,0.0,26,44,,v1_9_0/Prefabs/Cases/bequiet/CAS_Bequiet_PUREBASE500_Grey,be quiet! Pure Base 500 (Metallic Grey),be quiet! Pure Base 500 (Metallic Grey)
Case,be quiet!,Pure Base 500 (White Window),,Y,80,27,17,40,1.9,PC,,,Mid Tower,Y,Y,Y,,,,Y,,3,2,258.0,369,190,,Y,,,2,be quiet! Pure Wings 2 140mm,,,,,,,,323.0,0.0,26,54,,v1_9_0/Prefabs/Cases/bequiet/CAS_Bequiet_PUREBASE500_Window_White,be quiet! Pure Base 500 (White Window),be quiet! Pure Base 500 (White Window)
Case,be quiet!,Pure Base 500 (White),,Y,70,23,17,40,1.9,PC,,,Mid Tower,Y,Y,Y,,,,Y,,3,2,258.0,369,190,,Y,,,2,be quiet! Pure Wings 2 140mm,,,,,,,,323.0,0.0,26,44,,v1_9_0/Prefabs/Cases/bequiet/CAS_Bequiet_PUREBASE500_White,be quiet! Pure Base 500 (White),be quiet! Pure Base 500 (White)
Case,be quiet!,Pure Base 500DX (Black),,Y,100,33,17,40,1.9,PC,,,Mid Tower,Y,Y,Y,,,,Y,,3,2,258.0,369,190,,Y,,,3,be quiet! Pure Wings 2 140mm,,,,,,,,323.0,0.0,39,61,,v1_9_0/Prefabs/Cases/bequiet/CAS_Bequiet_Pure_Base_500DX_Black,be quiet! Pure Base 500DX (Black),be quiet! Pure Base 500DX (Black)
Case,be quiet!,Pure Base 500DX (White),,Y,100,33,17,40,1.9,PC,,,Mid Tower,Y,Y,Y,,,,Y,,3,2,258.0,369,190,,Y,,,3,be quiet! Pure Wings 2 140mm,,,,,,,,323.0,0.0,39,61,,v1_9_0/Prefabs/Cases/bequiet/CAS_Bequiet_Pure_Base_500DX_White,be quiet! Pure Base 500DX (White),be quiet! Pure Base 500DX (White)
Case,be quiet!,Pure Base 600 (Black),,Y,90,30,15,1,1.1,,,,Mid Tower,Y,Y,Y,,,,Y,,3,2,210.0,425,165,,Y,,,1,be quiet! Pure Wings 2 120mm,,1.0,be quiet! Pure Wings 2 140mm,,,,,280.0,0.0,23,67,,Prefabs/Cases/bequiet/CAS_bequiet_PUREBASE600_RubbersOff_Black,be quiet! Pure Base 600 (Black),be quiet! Pure Base 600 (Black)
Case,be quiet!,Pure Base 600 (Silver),,Y,90,30,15,1,1.1,,,,Mid Tower,Y,Y,Y,,,,Y,,3,2,210.0,425,165,,Y,,,1,be quiet! Pure Wings 2 120mm,,1.0,be quiet! Pure Wings 2 140mm,,,,,280.0,0.0,23,67,,Prefabs/Cases/bequiet/CAS_bequiet_PUREBASE600_RubbersOff,be quiet! Pure Base 600 (Silver),be quiet! Pure Base 600 (Silver)
Case,be quiet!,Pure Base 600 Window (Black),,Y,90,30,15,50,1.1,,,,Mid Tower,Y,Y,Y,,,,Y,,3,2,210.0,425,165,,Y,,,1,be quiet! Pure Wings 2 120mm,,1.0,be quiet! Pure Wings 2 140mm,,,,,280.0,0.0,23,67,,Prefabs/Cases/bequiet/CAS_bequiet_PUREBASE600_Black,be quiet! Pure Base 600 Window (Black),be quiet! Pure Base 600 Window (Black)
Case,be quiet!,Pure Base 600 Window (Orange),,Y,90,30,15,50,1.1,,,,Mid Tower,Y,Y,Y,,,,Y,,3,2,210.0,425,165,,Y,,,1,be quiet! Pure Wings 2 120mm,,1.0,be quiet! Pure Wings 2 140mm,,,,,280.0,0.0,23,67,Exclude,Prefabs/Cases/bequiet/CAS_bequiet_PUREBASE600,be quiet! Pure Base 600 Window (Orange),be quiet! Pure Base 600 Window (Orange)
Case,be quiet!,Silent Base 600 (Black),,Y,60,20,11,1,1.1,,,,Mid Tower,Y,Y,Y,,,,Y,,2,1,290.0,413,167,,,,,1,be quiet! Pure Wings 2 120mm,,1.0,be quiet! Pure Wings 2 140mm,,,,,294.0,0.0,23,37,,Prefabs/Cases/bequiet/CAS_bequiet_SILENTBASE600_Normal_Black,be quiet! Silent Base 600 (Black),be quiet! Silent Base 600 (Black)
Case,be quiet!,Silent Base 600 (Green),,Y,60,20,11,50,1.1,,,,Mid Tower,Y,Y,Y,,,,Y,,2,1,290.0,413,167,,,,,1,be quiet! Pure Wings 2 120mm,,1.0,be quiet! Pure Wings 2 140mm,,,,,294.0,0.0,23,37,Exclude,Prefabs/Cases/bequiet/CAS_bequiet_SILENTBASE600_Normal_Green,be quiet! Silent Base 600 (Green),be quiet! Silent Base 600 (Green)
Case,be quiet!,Silent Base 600 (Orange),,Y,60,20,11,1,1.1,,,,Mid Tower,Y,Y,Y,,,,Y,,2,1,290.0,413,167,,,,,1,be quiet! Pure Wings 2 120mm,,1.0,be quiet! Pure Wings 2 140mm,,,,,294.0,0.0,23,37,Exclude,Prefabs/Cases/bequiet/CAS_bequiet_SILENTBASE600_Normal_Orange,be quiet! Silent Base 600 (Orange),be quiet! Silent Base 600 (Orange)
Case,be quiet!,Silent Base 600 (Red),,Y,60,20,11,30,1.1,,,,Mid Tower,Y,Y,Y,,,,Y,,2,1,290.0,413,167,,,,,1,be quiet! Pure Wings 2 120mm,,1.0,be quiet! Pure Wings 2 140mm,,,,,294.0,0.0,23,37,Exclude,Prefabs/Cases/bequiet/CAS_bequiet_SILENTBASE600_Normal_Red,be quiet! Silent Base 600 (Red),be quiet! Silent Base 600 (Red)
Case,be quiet!,Silent Base 600 (Silver),,Y,60,20,11,10,1.1,,,,Mid Tower,Y,Y,Y,,,,Y,,2,1,290.0,413,167,,,,,1,be quiet! Pure Wings 2 120mm,,1.0,be quiet! Pure Wings 2 140mm,,,,,294.0,0.0,23,37,,Prefabs/Cases/bequiet/CAS_bequiet_SILENTBASE600_Normal_Gray,be quiet! Silent Base 600 (Silver),be quiet! Silent Base 600 (Silver)
Case,be quiet!,Silent Base 600 Window (Black),,Y,60,20,12,1,1.1,,,,Mid Tower,Y,Y,Y,,,,Y,,2,1,290.0,413,167,,,,,1,be quiet! Pure Wings 2 120mm,,1.0,be quiet! Pure Wings 2 140mm,,,,,294.0,0.0,23,37,,Prefabs/Cases/bequiet/CAS_bequiet_SILENTBASE600_Window_Black,be quiet! Silent Base 600 Window (Black),be quiet! Silent Base 600 Window (Black)
Case,be quiet!,Silent Base 600 Window (Green),,Y,60,20,12,50,1.1,,,,Mid Tower,Y,Y,Y,,,,Y,,2,1,290.0,413,167,,,,,1,be quiet! Pure Wings 2 120mm,,1.0,be quiet! Pure Wings 2 140mm,,,,,294.0,0.0,23,37,Exclude,Prefabs/Cases/bequiet/CAS_bequiet_SILENTBASE600_Window_Green,be quiet! Silent Base 600 Window (Green),be quiet! Silent Base 600 Window (Green)
Case,be quiet!,Silent Base 600 Window (Orange),,Y,60,20,12,1,1.1,,,,Mid Tower,Y,Y,Y,,,,Y,,2,1,290.0,413,167,,,,,1,be quiet! Pure Wings 2 120mm,,1.0,be quiet! Pure Wings 2 140mm,,,,,294.0,0.0,23,37,Exclude,Prefabs/Cases/bequiet/CAS_bequiet_SILENTBASE600_Window_Orange,be quiet! Silent Base 600 Window (Orange),be quiet! Silent Base 600 Window (Orange)
Case,be quiet!,Silent Base 600 Window (Red),,Y,60,20,12,30,1.1,,,,Mid Tower,Y,Y,Y,,,,Y,,2,1,290.0,413,167,,,,,1,be quiet! Pure Wings 2 120mm,,1.0,be quiet! Pure Wings 2 140mm,,,,,294.0,0.0,23,37,Exclude,Prefabs/Cases/bequiet/CAS_bequiet_SILENTBASE600_Window_Red,be quiet! Silent Base 600 Window (Red),be quiet! Silent Base 600 Window (Red)
Case,be quiet!,Silent Base 600 Window (Silver),,Y,60,20,12,10,1.1,,,,Mid Tower,Y,Y,Y,,,,Y,,2,1,290.0,413,167,,,,,1,be quiet! Pure Wings 2 120mm,,1.0,be quiet! Pure Wings 2 140mm,,,,,294.0,0.0,23,37,Exclude,Prefabs/Cases/bequiet/CAS_bequiet_SILENTBASE600_Window_Silver,be quiet! Silent Base 600 Window (Silver),be quiet! Silent Base 600 Window (Silver)
Case,be quiet!,Silent Base 601 (Black),,Y,120,40,22,1,1.1,,,,Mid Tower,Y,Y,Y,Y,,,Y,,3,3,288.0,449,185,,Y,,,2,be quiet! Pure Wings 2 140mm,,,,,,,,287.0,0.0,26,94,,Prefabs/Cases/bequiet/CAS_bequiet_SILENTBASE601_Normal_Black,be quiet! Silent Base 601 (Black),be quiet! Silent Base 601 (Black)
Case,be quiet!,Silent Base 601 (Orange),,Y,120,40,22,1,1.1,,,,Mid Tower,Y,Y,Y,Y,,,Y,,3,3,288.0,449,185,,Y,,,2,be quiet! Pure Wings 2 140mm,,,,,,,,287.0,0.0,26,94,Exclude,Prefabs/Cases/bequiet/CAS_bequiet_SILENTBASE601_Normal_Orange,be quiet! Silent Base 601 (Orange),be quiet! Silent Base 601 (Orange)
Case,be quiet!,Silent Base 601 (Red),,Y,120,40,22,30,1.1,,,,Mid Tower,Y,Y,Y,Y,,,Y,,3,3,288.0,449,185,,Y,,,2,be quiet! Pure Wings 2 140mm,,,,,,,,287.0,0.0,26,94,Exclude,Prefabs/Cases/bequiet/CAS_bequiet_SILENTBASE601_Normal_Red,be quiet! Silent Base 601 (Red),be quiet! Silent Base 601 (Red)
Case,be quiet!,Silent Base 601 (Silver),,Y,120,40,22,10,1.1,,,,Mid Tower,Y,Y,Y,Y,,,Y,,3,3,288.0,449,185,,Y,,,2,be quiet! Pure Wings 2 140mm,,,,,,,,287.0,0.0,26,94,,Prefabs/Cases/bequiet/CAS_bequiet_SILENTBASE601_Normal_Gray,be quiet! Silent Base 601 (Silver),be quiet! Silent Base 601 (Silver)
Case,be quiet!,Silent Base 601 Window (Black),,Y,120,40,22,20,1.1,,,,Mid Tower,Y,Y,Y,Y,,,Y,,3,3,288.0,449,185,,Y,,,2,be quiet! Pure Wings 2 140mm,,,,,,,,287.0,0.0,26,94,,Prefabs/Cases/bequiet/CAS_bequiet_SILENTBASE601_Window_Black,be quiet! Silent Base 601 Window (Black),be quiet! Silent Base 601 Window (Black)
Case,be quiet!,Silent Base 601 Window (Orange),,Y,120,40,22,50,1.1,,,,Mid Tower,Y,Y,Y,Y,,,Y,,3,3,288.0,449,185,,Y,,,2,be quiet! Pure Wings 2 140mm,,,,,,,,287.0,0.0,26,94,Exclude,Prefabs/Cases/bequiet/CAS_bequiet_SILENTBASE601,be quiet! Silent Base 601 Window (Orange),be quiet! Silent Base 601 Window (Orange)
Case,be quiet!,Silent Base 601 Window (Red),,Y,120,40,22,90,1.1,,,,Mid Tower,Y,Y,Y,Y,,,Y,,3,3,288.0,449,185,,Y,,,2,be quiet! Pure Wings 2 140mm,,,,,,,,287.0,0.0,26,94,Exclude,Prefabs/Cases/bequiet/CAS_bequiet_SILENTBASE601_Window_Red,be quiet! Silent Base 601 Window (Red),be quiet! Silent Base 601 Window (Red)
Case,be quiet!,Silent Base 601 Window (Silver),,Y,120,40,22,70,1.1,,,,Mid Tower,Y,Y,Y,Y,,,Y,,3,3,288.0,449,185,,Y,,,2,be quiet! Pure Wings 2 140mm,,,,,,,,287.0,0.0,26,94,Exclude,Prefabs/Cases/bequiet/CAS_bequiet_SILENTBASE601_Window_Gray,be quiet! Silent Base 601 Window (Silver),be quiet! Silent Base 601 Window (Silver)
Case,be quiet!,Silent Base 801 (Black),,Y,160,53,24,1,1.1,,,,Mid Tower,Y,Y,Y,Y,,,Y,,3,3,288.0,449,185,,Y,,,3,be quiet! Pure Wings 2 140mm,,,,,,,,287.0,0.0,39,121,,Prefabs/Cases/bequiet/CAS_bequiet_SILENTBASE801_Normal_Black,be quiet! Silent Base 801 (Black),be quiet! Silent Base 801 (Black)
Case,be quiet!,Silent Base 801 (Orange),,Y,160,53,24,1,1.1,,,,Mid Tower,Y,Y,Y,Y,,,Y,,3,3,288.0,449,185,,Y,,,3,be quiet! Pure Wings 2 140mm,,,,,,,,287.0,0.0,39,121,Exclude,Prefabs/Cases/bequiet/CAS_bequiet_SILENTBASE801_Normal_Orange,be quiet! Silent Base 801 (Orange),be quiet! Silent Base 801 (Orange)
Case,be quiet!,Silent Base 801 (Red),,Y,160,53,24,50,1.1,,,,Mid Tower,Y,Y,Y,Y,,,Y,,3,3,288.0,449,185,,Y,,,3,be quiet! Pure Wings 2 140mm,,,,,,,,287.0,0.0,39,121,Exclude,Prefabs/Cases/bequiet/CAS_bequiet_SILENTBASE801_Normal_Red,be quiet! Silent Base 801 (Red),be quiet! Silent Base 801 (Red)
Case,be quiet!,Silent Base 801 (Silver),,Y,160,53,24,30,1.1,,,,Mid Tower,Y,Y,Y,Y,,,Y,,3,3,288.0,449,185,,Y,,,3,be quiet! Pure Wings 2 140mm,,,,,,,,287.0,0.0,39,121,,Prefabs/Cases/bequiet/CAS_bequiet_SILENTBASE801_Normal_Gray,be quiet! Silent Base 801 (Silver),be quiet! Silent Base 801 (Silver)
Case,be quiet!,Silent Base 801 Window (Black),,Y,160,53,24,70,1.1,,,,Mid Tower,Y,Y,Y,Y,,,Y,,3,3,288.0,449,185,,Y,,,3,be quiet! Pure Wings 2 140mm,,,,,,,,287.0,0.0,39,121,Exclude,Prefabs/Cases/bequiet/CAS_bequiet_SILENTBASE801_Window_Black,be quiet! Silent Base 801 Window (Black),be quiet! Silent Base 801 Window (Black)
Case,be quiet!,Silent Base 801 Window (Orange),,Y,160,53,24,70,1.1,,,,Mid Tower,Y,Y,Y,Y,,,Y,,3,3,288.0,449,185,,Y,,,3,be quiet! Pure Wings 2 140mm,,,,,,,,287.0,0.0,39,121,Exclude,Prefabs/Cases/bequiet/CAS_bequiet_SILENTBASE801_Window_Orange,be quiet! Silent Base 801 Window (Orange),be quiet! Silent Base 801 Window (Orange)
Case,be quiet!,Silent Base 801 Window (Red),,Y,160,53,24,90,1.1,,,,Mid Tower,Y,Y,Y,Y,,,Y,,3,3,288.0,449,185,,Y,,,3,be quiet! Pure Wings 2 140mm,,,,,,,,287.0,0.0,39,121,Exclude,Prefabs/Cases/bequiet/CAS_bequiet_SILENTBASE801_Window_Red,be quiet! Silent Base 801 Window (Red),be quiet! Silent Base 801 Window (Red)
Case,be quiet!,Silent Base 801 Window (Silver),,Y,160,53,24,90,1.1,,,,Mid Tower,Y,Y,Y,Y,,,Y,,3,3,288.0,449,185,,Y,,,3,be quiet! Pure Wings 2 140mm,,,,,,,,287.0,0.0,39,121,Exclude,Prefabs/Cases/bequiet/CAS_bequiet_SILENTBASE801_Window_Grey,be quiet! Silent Base 801 Window (Silver),be quiet! Silent Base 801 Window (Silver)
Case,Cooler Master,COSMOS C700P,,Y,300,100,3,1,1.0,,,RGB,Full Tower,Y,Y,Y,Y,,,Y,,3,3,250.0,490,198,,Y,,,3,Mortoni Heat Away 140,,,,,,,,320.0,0.0,21,279,Exclude,Prefabs/Cases/CoolerMaster/Cosmos_C700P_Case,Cooler Master COSMOS C700P,Cooler Master COSMOS C700P
Case,Cooler Master,MasterBox 5 (White),,Y,80,27,1,1,1.0,,,,Mid Tower,Y,Y,Y,,,,Y,,2,2,250.0,410,167,,Y,,,2,Mortoni Heat Away 120,,,,,,,,,0.0,14,66,Exclude,Prefabs/Cases/CoolerMaster/CM_MasterBox_5_White,Cooler Master MasterBox 5 (White),Cooler Master MasterBox 5 (White)
Case,Cooler Master,MasterBox 5 MSI Edition,,Y,100,33,15,1,1.0,,,,Mid Tower,Y,Y,Y,,,,Y,,2,2,250.0,410,167,,Y,,,2,Mortoni Heat Away 120,,,,,,,,,0.0,14,86,Exclude,Prefabs/Cases/CoolerMaster/CM_MasterBox_5_MSI_Edition,Cooler Master MasterBox 5 MSI Edition,Cooler Master MasterBox 5 MSI Edition
Case,Cooler Master,MasterBox NR200P (Black Window),,Y,130,43,32,50,1.14,PC,,,Micro,Y,,,,,,,Y,2,2,120.0,330,153,Y,,,,2,Cooler Master SickleFlow 120mm,,,,,,,,,0.0,60,70,,v1_14_0/Prefabs/Cases/CoolerMaster/CAS_Coolmaster_MasterBox_NR200P,Cooler Master MasterBox NR200P (Black Window),Cooler Master MasterBox NR200P (Black Window)
Case,Cooler Master,MasterBox NR200P (Black),,Y,130,43,32,50,1.14,PC,,,Micro,Y,,,,,,,Y,2,2,120.0,330,153,Y,,,,2,Cooler Master SickleFlow 120mm,,,,,,,,,0.0,60,70,,v1_14_0/Prefabs/Cases/CoolerMaster/CAS_Coolmaster_MasterBox_NR200P_grid,Cooler Master MasterBox NR200P (Black),Cooler Master MasterBox NR200P (Black)
Case,Cooler Master,MasterBox NR200P (Blue Window),,Y,180,60,32,50,1.14,PC,,,Micro,Y,,,,,,,Y,2,2,120.0,330,153,Y,,,,2,Cooler Master SickleFlow 120mm,,,,,,,,,0.0,60,120,,v1_14_0/Prefabs/Cases/CoolerMaster/CAS_Coolmaster_MasterBox_NR200P_MS_Blue,Cooler Master MasterBox NR200P (Blue Window),Cooler Master MasterBox NR200P (Blue Window)
Case,Cooler Master,MasterBox NR200P (Blue),,Y,180,60,32,50,1.14,PC,,,Micro,Y,,,,,,,Y,2,2,120.0,330,153,Y,,,,2,Cooler Master SickleFlow 120mm,,,,,,,,,0.0,60,120,,v1_14_0/Prefabs/Cases/CoolerMaster/CAS_Coolmaster_MasterBox_NR200P_MS_Blue_grid,Cooler Master MasterBox NR200P (Blue),Cooler Master MasterBox NR200P (Blue)
